PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:42,1,0 - 3,3
11:25,1,2 - 3,1
11:13,1,2 - 6,4
10:49,1,5 - 6,1
9:35,1,7 - 6,-1
8:41,1,8 - 6,-2
7:07,1,8 - 8,TIE
6:33,1,10 - 8,-2
5:55,1,12 - 8,-4
5:24,1,14 - 8,-6
4:54,1,16 - 8,-8
4:14,1,16 - 10,-6
3:27,1,16 - 13,-3
2:30,1,16 - 15,-1
1:16,1,16 - 17,1
0:06,1,18 - 17,-1
0:00,1,18 - 17,-1
12:00,2,18 - 17,-1
11:20,2,18 - 20,2
11:04,2,20 - 20,TIE
10:08,2,20 - 22,2
9:05,2,22 - 22,TIE
8:49,2,22 - 25,3
8:29,2,25 - 25,TIE
8:13,2,25 - 28,3
7:59,2,25 - 28,3
7:58,2,26 - 28,2
7:58,2,27 - 28,1
7:32,2,28 - 28,TIE
7:32,2,29 - 28,-1
7:14,2,29 - 29,TIE
6:57,2,31 - 29,-2
6:48,2,31 - 31,TIE
6:02,2,33 - 31,-2
5:42,2,33 - 33,TIE
5:15,2,33 - 35,2
5:01,2,35 - 35,TIE
3:34,2,36 - 35,-1
3:34,2,37 - 35,-2
3:15,2,37 - 37,TIE
2:34,2,37 - 40,3
1:15,2,37 - 42,5
0:00,2,37 - 44,7
0:00,2,37 - 44,7
0:00,2,37 - 44,7
12:00,3,37 - 44,7
11:28,3,37 - 45,8
11:28,3,37 - 46,9
10:14,3,37 - 48,11
9:42,3,37 - 50,13
8:28,3,38 - 50,12
8:28,3,39 - 50,11
8:08,3,39 - 52,13
7:48,3,41 - 52,11
7:33,3,41 - 54,13
7:33,3,41 - 55,14
7:10,3,43 - 55,12
6:21,3,46 - 55,9
6:06,3,46 - 57,11
5:29,3,48 - 57,9
5:11,3,48 - 59,11
3:55,3,50 - 59,9
3:27,3,52 - 59,7
3:02,3,52 - 61,9
2:25,3,53 - 61,8
2:25,3,54 - 61,7
2:02,3,56 - 61,5
1:40,3,58 - 61,3
1:17,3,60 - 61,1
0:36,3,60 - 63,3
0:00,3,60 - 63,3
12:00,4,60 - 63,3
11:36,4,62 - 63,1
11:11,4,62 - 64,2
9:55,4,62 - 67,5
9:10,4,64 - 67,3
8:24,4,64 - 67,3
7:41,4,64 - 70,6
7:23,4,65 - 70,5
7:23,4,66 - 70,4
6:53,4,69 - 70,1
6:07,4,69 - 72,3
5:11,4,69 - 74,5
4:28,4,71 - 74,3
3:54,4,71 - 75,4
3:54,4,71 - 76,5
3:08,4,71 - 78,7
2:39,4,71 - 80,9
2:22,4,72 - 80,8
1:48,4,74 - 80,6
1:33,4,74 - 82,8
1:25,4,76 - 82,6
0:31,4,76 - 84,8
0:20,4,78 - 84,6
0:11,4,79 - 84,5
0:11,4,80 - 84,4
0:09,4,80 - 85,5
0:09,4,80 - 86,6
0:06,4,83 - 86,3
0:00,4,83 - 86,3
