PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:08,1,0 - 2,2
10:54,1,2 - 2,TIE
9:58,1,4 - 2,-2
9:39,1,4 - 4,TIE
8:43,1,6 - 4,-2
8:37,1,6 - 6,TIE
7:16,1,8 - 6,-2
6:04,1,10 - 6,-4
5:47,1,10 - 8,-2
4:48,1,10 - 10,TIE
4:08,1,10 - 13,3
3:54,1,12 - 13,1
3:54,1,13 - 13,TIE
2:42,1,15 - 13,-2
2:34,1,15 - 14,-1
2:34,1,15 - 15,TIE
2:12,1,15 - 17,2
1:20,1,15 - 19,4
0:59,1,17 - 19,2
0:50,1,17 - 21,4
0:41,1,19 - 21,2
0:00,1,19 - 21,2
12:00,2,19 - 21,2
11:42,2,21 - 21,TIE
11:23,2,21 - 22,1
11:23,2,21 - 23,2
11:08,2,24 - 23,-1
10:58,2,24 - 25,1
10:58,2,24 - 26,2
10:29,2,24 - 28,4
9:49,2,27 - 28,1
9:32,2,29 - 28,-1
8:54,2,29 - 29,TIE
8:54,2,29 - 30,1
8:37,2,32 - 30,-2
8:20,2,32 - 32,TIE
8:10,2,35 - 32,-3
7:55,2,37 - 32,-5
7:18,2,37 - 34,-3
7:06,2,38 - 34,-4
6:14,2,40 - 34,-6
5:41,2,42 - 34,-8
5:25,2,42 - 37,-5
5:08,2,44 - 37,-7
4:44,2,46 - 37,-9
4:29,2,46 - 39,-7
3:29,2,48 - 39,-9
3:18,2,48 - 42,-6
3:07,2,49 - 42,-7
3:07,2,50 - 42,-8
2:50,2,50 - 45,-5
2:33,2,51 - 45,-6
2:33,2,52 - 45,-7
2:20,2,52 - 47,-5
2:13,2,54 - 47,-7
1:48,2,54 - 49,-5
1:26,2,57 - 49,-8
1:05,2,57 - 50,-7
1:05,2,57 - 51,-6
0:38,2,57 - 52,-5
0:38,2,57 - 53,-4
0:31,2,59 - 53,-6
0:01,2,60 - 53,-7
0:01,2,61 - 53,-8
0:00,2,61 - 53,-8
12:00,3,61 - 53,-8
11:45,3,63 - 53,-10
11:08,3,65 - 53,-12
10:42,3,65 - 55,-10
9:33,3,65 - 57,-8
8:01,3,67 - 57,-10
7:45,3,67 - 58,-9
7:27,3,69 - 58,-11
7:04,3,69 - 60,-9
6:41,3,69 - 61,-8
6:41,3,69 - 62,-7
6:06,3,69 - 64,-5
5:14,3,69 - 67,-2
4:51,3,71 - 67,-4
3:54,3,71 - 69,-2
1:56,3,73 - 69,-4
0:43,3,75 - 69,-6
0:34,3,75 - 70,-5
0:34,3,75 - 71,-4
0:13,3,77 - 71,-6
0:00,3,77 - 71,-6
12:00,4,77 - 71,-6
11:48,4,77 - 73,-4
11:28,4,80 - 73,-7
10:28,4,80 - 75,-5
10:16,4,80 - 77,-3
9:47,4,82 - 77,-5
9:33,4,82 - 79,-3
8:51,4,84 - 79,-5
8:31,4,84 - 81,-3
7:39,4,84 - 83,-1
7:00,4,86 - 83,-3
5:36,4,88 - 83,-5
4:58,4,88 - 85,-3
4:25,4,88 - 88,TIE
4:01,4,90 - 88,-2
3:04,4,90 - 90,TIE
2:47,4,92 - 90,-2
2:21,4,94 - 90,-4
1:44,4,94 - 92,-2
1:44,4,94 - 93,-1
1:08,4,94 - 95,1
0:35,4,96 - 95,-1
0:35,4,97 - 95,-2
0:17,4,98 - 95,-3
0:12,4,98 - 97,-1
0:05,4,99 - 97,-2
0:05,4,100 - 97,-3
0:01,4,101 - 97,-4
0:00,4,101 - 97,-4
