PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:38,1,2 - 0,-2
11:26,1,2 - 2,TIE
10:40,1,4 - 2,-2
10:16,1,4 - 3,-1
10:16,1,4 - 4,TIE
9:59,1,6 - 4,-2
9:34,1,8 - 4,-4
9:22,1,8 - 7,-1
9:07,1,10 - 7,-3
9:07,1,11 - 7,-4
8:48,1,13 - 7,-6
8:26,1,16 - 7,-9
7:54,1,18 - 7,-11
7:32,1,20 - 7,-13
7:00,1,20 - 9,-11
6:20,1,20 - 11,-9
5:55,1,22 - 11,-11
5:47,1,22 - 13,-9
5:27,1,22 - 14,-8
5:07,1,22 - 16,-6
4:41,1,22 - 18,-4
4:00,1,22 - 20,-2
3:44,1,22 - 22,TIE
3:11,1,22 - 24,2
2:55,1,23 - 24,1
2:55,1,24 - 24,TIE
2:33,1,26 - 24,-2
2:05,1,28 - 24,-4
1:48,1,28 - 27,-1
1:36,1,30 - 27,-3
1:25,1,30 - 29,-1
1:13,1,30 - 31,1
0:55,1,33 - 31,-2
0:43,1,33 - 33,TIE
0:26,1,33 - 36,3
0:00,1,33 - 36,3
12:00,2,33 - 36,3
11:29,2,36 - 36,TIE
11:11,2,38 - 36,-2
10:34,2,41 - 36,-5
10:06,2,41 - 38,-3
9:46,2,43 - 38,-5
9:12,2,46 - 38,-8
8:44,2,48 - 38,-10
8:44,2,49 - 38,-11
8:30,2,49 - 40,-9
7:13,2,52 - 40,-12
6:50,2,54 - 40,-14
6:29,2,54 - 42,-12
5:39,2,54 - 43,-11
5:39,2,54 - 44,-10
5:24,2,56 - 44,-12
5:17,2,56 - 45,-11
5:17,2,56 - 46,-10
4:40,2,56 - 49,-7
4:40,2,58 - 49,-9
4:40,2,59 - 49,-10
4:17,2,59 - 52,-7
3:36,2,61 - 52,-9
3:28,2,61 - 54,-7
3:14,2,62 - 54,-8
3:14,2,63 - 54,-9
2:37,2,64 - 54,-10
1:48,2,66 - 54,-12
1:32,2,66 - 56,-10
1:19,2,68 - 56,-12
1:03,2,68 - 57,-11
0:53,2,70 - 57,-13
0:42,2,70 - 59,-11
0:31,2,73 - 59,-14
0:24,2,73 - 62,-11
0:00,2,73 - 62,-11
12:00,3,73 - 62,-11
11:43,3,75 - 62,-13
11:22,3,75 - 65,-10
10:56,3,75 - 67,-8
10:45,3,78 - 67,-11
10:31,3,78 - 69,-9
9:31,3,81 - 69,-12
8:47,3,81 - 71,-10
8:32,3,82 - 71,-11
8:32,3,83 - 71,-12
8:22,3,83 - 74,-9
8:11,3,83 - 74,-9
8:11,3,84 - 74,-10
8:11,3,85 - 74,-11
7:29,3,85 - 76,-9
7:06,3,87 - 76,-11
6:34,3,90 - 76,-14
5:26,3,91 - 76,-15
5:26,3,92 - 76,-16
5:18,3,92 - 78,-14
4:42,3,92 - 80,-12
4:30,3,93 - 80,-13
4:30,3,94 - 80,-14
4:13,3,94 - 81,-13
4:13,3,94 - 82,-12
3:58,3,96 - 82,-14
3:46,3,96 - 84,-12
3:30,3,98 - 84,-14
3:11,3,98 - 86,-12
2:34,3,99 - 86,-13
2:05,3,99 - 88,-11
1:32,3,99 - 90,-9
1:16,3,101 - 90,-11
0:54,3,101 - 92,-9
0:36,3,104 - 92,-12
0:04,3,104 - 93,-11
0:04,3,104 - 94,-10
0:00,3,104 - 94,-10
12:00,4,104 - 94,-10
11:00,4,107 - 94,-13
10:32,4,110 - 94,-16
10:18,4,110 - 96,-14
10:00,4,113 - 96,-17
9:43,4,113 - 98,-15
9:27,4,115 - 98,-17
9:11,4,118 - 98,-20
8:48,4,118 - 100,-18
8:33,4,119 - 100,-19
8:33,4,120 - 100,-20
8:14,4,120 - 102,-18
7:59,4,122 - 102,-20
7:22,4,124 - 102,-22
6:49,4,124 - 104,-20
6:25,4,124 - 106,-18
5:49,4,124 - 108,-16
4:26,4,124 - 111,-13
4:02,4,125 - 111,-14
4:02,4,126 - 111,-15
3:27,4,128 - 111,-17
1:16,4,128 - 111,-17
0:25,4,128 - 113,-15
0:04,4,131 - 113,-18
0:00,4,131 - 113,-18
