PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:27,1,2 - 0,-2
10:53,1,4 - 0,-4
10:15,1,4 - 1,-3
10:15,1,4 - 2,-2
9:39,1,4 - 4,TIE
9:19,1,7 - 4,-3
9:07,1,7 - 7,TIE
8:08,1,7 - 9,2
7:16,1,7 - 10,3
7:16,1,7 - 11,4
6:46,1,7 - 12,5
6:27,1,9 - 12,3
5:01,1,9 - 13,4
3:46,1,9 - 15,6
3:29,1,11 - 15,4
2:57,1,14 - 15,1
2:44,1,14 - 18,4
1:55,1,17 - 18,1
1:19,1,20 - 18,-2
0:00,1,20 - 18,-2
12:00,2,20 - 18,-2
11:11,2,22 - 18,-4
10:23,2,22 - 20,-2
10:07,2,24 - 20,-4
9:42,2,24 - 23,-1
8:43,2,24 - 25,1
8:02,2,25 - 25,TIE
7:46,2,25 - 28,3
7:03,2,28 - 28,TIE
6:39,2,28 - 31,3
6:22,2,30 - 31,1
6:07,2,30 - 31,1
6:07,2,30 - 32,2
6:07,2,30 - 33,3
6:07,2,30 - 34,4
5:21,2,30 - 36,6
5:02,2,32 - 36,4
4:41,2,32 - 38,6
4:23,2,32 - 40,8
3:49,2,34 - 40,6
3:35,2,34 - 42,8
3:04,2,36 - 42,6
2:43,2,39 - 42,3
1:02,2,39 - 44,5
0:07,2,42 - 44,2
0:00,2,42 - 44,2
12:00,3,42 - 44,2
11:29,3,44 - 44,TIE
11:09,3,44 - 46,2
10:55,3,46 - 46,TIE
10:19,3,46 - 47,1
10:19,3,46 - 48,2
9:59,3,48 - 48,TIE
9:39,3,48 - 50,2
9:10,3,48 - 52,4
8:28,3,48 - 54,6
8:03,3,48 - 55,7
7:48,3,51 - 55,4
7:47,3,50 - 55,5
7:40,3,51 - 58,7
7:05,3,54 - 58,4
6:55,3,54 - 61,7
6:23,3,54 - 62,8
6:23,3,54 - 63,9
6:08,3,56 - 63,7
5:12,3,56 - 66,10
4:39,3,56 - 69,13
4:13,3,56 - 70,14
4:13,3,56 - 71,15
3:57,3,58 - 71,13
3:35,3,58 - 74,16
3:15,3,60 - 74,14
3:15,3,61 - 74,13
1:59,3,63 - 74,11
1:16,3,63 - 75,12
1:16,3,63 - 76,13
0:55,3,63 - 78,15
0:44,3,64 - 78,14
0:44,3,65 - 78,13
0:36,3,65 - 81,16
0:24,3,66 - 81,15
0:24,3,67 - 81,14
0:03,3,67 - 82,15
0:03,3,67 - 83,16
0:00,3,67 - 83,16
12:00,4,67 - 83,16
11:49,4,67 - 84,17
11:49,4,67 - 85,18
11:26,4,67 - 88,21
11:00,4,69 - 88,19
10:23,4,70 - 88,18
10:23,4,71 - 88,17
10:11,4,71 - 90,19
9:50,4,73 - 90,17
9:38,4,73 - 92,19
9:15,4,75 - 92,17
8:26,4,75 - 95,20
8:06,4,77 - 95,18
7:29,4,79 - 95,16
7:14,4,79 - 97,18
6:20,4,81 - 97,16
5:56,4,84 - 97,13
4:48,4,84 - 100,16
4:42,4,85 - 100,15
4:42,4,86 - 100,14
4:31,4,86 - 102,16
4:14,4,88 - 102,14
3:32,4,88 - 103,15
3:32,4,88 - 104,16
3:27,4,89 - 104,15
2:51,4,89 - 107,18
2:00,4,90 - 107,17
2:00,4,91 - 107,16
1:48,4,91 - 109,18
0:56,4,91 - 111,20
0:45,4,94 - 111,17
0:38,4,94 - 112,18
0:29,4,96 - 112,16
0:00,4,99 - 112,13
0:00,4,99 - 112,13
0:00,4,99 - 112,13
