PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:34,1,0 - 3,3
11:13,1,2 - 3,1
10:39,1,4 - 3,-1
10:39,1,5 - 3,-2
10:22,1,5 - 5,TIE
9:51,1,5 - 7,2
9:33,1,7 - 7,TIE
8:01,1,7 - 9,2
7:43,1,9 - 9,TIE
7:09,1,9 - 10,1
7:09,1,9 - 11,2
6:45,1,11 - 11,TIE
6:44,1,11 - 13,2
6:35,1,13 - 13,TIE
6:14,1,13 - 15,2
5:38,1,15 - 15,TIE
5:09,1,18 - 15,-3
4:47,1,20 - 15,-5
4:31,1,20 - 17,-3
3:57,1,20 - 19,-1
3:47,1,23 - 19,-4
3:38,1,23 - 21,-2
3:22,1,24 - 21,-3
3:22,1,25 - 21,-4
2:54,1,25 - 24,-1
2:49,1,27 - 24,-3
2:22,1,30 - 24,-6
1:46,1,32 - 24,-8
1:24,1,34 - 24,-10
1:06,1,36 - 24,-12
0:44,1,38 - 24,-14
0:00,1,38 - 24,-14
12:00,2,38 - 24,-14
11:36,2,40 - 24,-16
11:19,2,40 - 27,-13
11:04,2,42 - 27,-15
11:04,2,43 - 27,-16
10:45,2,43 - 30,-13
10:05,2,43 - 32,-11
9:57,2,43 - 34,-9
9:39,2,46 - 34,-12
8:56,2,46 - 36,-10
8:49,2,47 - 36,-11
8:49,2,48 - 36,-12
8:21,2,48 - 38,-10
8:04,2,50 - 38,-12
7:51,2,50 - 40,-10
6:25,2,53 - 40,-13
5:51,2,53 - 42,-11
5:39,2,55 - 42,-13
5:39,2,56 - 42,-14
5:24,2,56 - 44,-12
5:10,2,56 - 46,-10
4:48,2,58 - 46,-12
4:27,2,58 - 48,-10
3:47,2,58 - 50,-8
3:22,2,59 - 50,-9
3:13,2,59 - 52,-7
2:38,2,61 - 52,-9
2:13,2,61 - 53,-8
2:13,2,61 - 54,-7
1:10,2,61 - 57,-4
0:20,2,64 - 57,-7
0:00,2,64 - 57,-7
12:00,3,64 - 57,-7
11:42,3,67 - 57,-10
11:16,3,67 - 59,-8
9:02,3,67 - 61,-6
8:42,3,67 - 61,-6
8:42,3,67 - 62,-5
8:42,3,67 - 63,-4
8:33,3,67 - 65,-2
7:53,3,69 - 65,-4
7:20,3,72 - 65,-7
7:01,3,72 - 67,-5
6:39,3,74 - 67,-7
5:53,3,77 - 67,-10
5:22,3,80 - 67,-13
5:07,3,80 - 68,-12
5:07,3,80 - 69,-11
4:47,3,82 - 69,-13
4:31,3,82 - 71,-11
4:16,3,84 - 71,-13
3:38,3,84 - 73,-11
3:16,3,85 - 73,-12
3:16,3,86 - 73,-13
3:06,3,86 - 75,-11
2:55,3,89 - 75,-14
2:43,3,90 - 75,-15
2:30,3,90 - 77,-13
2:00,3,90 - 79,-11
1:50,3,93 - 79,-14
1:40,3,93 - 81,-12
1:09,3,95 - 81,-14
0:39,3,95 - 83,-12
0:00,3,97 - 83,-14
0:00,3,97 - 83,-14
12:00,4,97 - 83,-14
11:31,4,99 - 83,-16
10:34,4,99 - 85,-14
10:02,4,102 - 85,-17
9:07,4,102 - 87,-15
8:57,4,104 - 87,-17
8:24,4,106 - 87,-19
8:07,4,106 - 90,-16
7:44,4,106 - 92,-14
7:12,4,106 - 94,-12
6:53,4,109 - 94,-15
6:35,4,109 - 96,-13
6:04,4,109 - 98,-11
5:02,4,109 - 100,-9
4:49,4,110 - 100,-10
4:49,4,111 - 100,-11
4:29,4,112 - 100,-12
3:48,4,112 - 102,-10
3:20,4,112 - 103,-9
2:38,4,112 - 104,-8
2:25,4,114 - 104,-10
2:17,4,114 - 105,-9
2:17,4,114 - 106,-8
1:46,4,114 - 109,-5
1:38,4,115 - 109,-6
1:31,4,116 - 109,-7
1:31,4,117 - 109,-8
1:27,4,117 - 111,-6
1:21,4,117 - 113,-4
1:00,4,120 - 113,-7
0:53,4,121 - 113,-8
0:53,4,122 - 113,-9
0:46,4,122 - 116,-6
0:41,4,123 - 116,-7
0:41,4,124 - 116,-8
0:35,4,124 - 118,-6
0:33,4,125 - 118,-7
0:29,4,125 - 120,-5
0:23,4,127 - 120,-7
0:00,4,127 - 120,-7
