PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:17,1,0 - 2,2
11:06,1,2 - 2,TIE
10:41,1,4 - 2,-2
10:02,1,6 - 2,-4
9:24,1,6 - 3,-3
9:24,1,6 - 4,-2
9:24,1,6 - 5,-1
8:39,1,6 - 7,1
8:39,1,6 - 8,2
8:28,1,8 - 8,TIE
8:09,1,8 - 10,2
7:54,1,10 - 10,TIE
6:59,1,10 - 12,2
6:27,1,10 - 14,4
6:06,1,12 - 14,2
5:45,1,12 - 16,4
5:36,1,12 - 19,7
5:08,1,12 - 21,9
4:53,1,15 - 21,6
4:12,1,15 - 23,8
3:18,1,18 - 23,5
2:58,1,18 - 26,8
2:28,1,18 - 28,10
2:17,1,20 - 28,8
1:52,1,22 - 28,6
1:41,1,22 - 31,9
1:23,1,25 - 31,6
1:08,1,25 - 34,9
0:31,1,25 - 37,12
0:13,1,27 - 37,10
0:00,1,27 - 37,10
12:00,2,27 - 37,10
11:01,2,27 - 39,12
10:16,2,27 - 42,15
9:54,2,30 - 42,12
9:26,2,32 - 42,10
9:15,2,34 - 42,8
8:04,2,34 - 45,11
7:27,2,34 - 48,14
6:58,2,34 - 50,16
6:31,2,36 - 50,14
6:09,2,36 - 52,16
5:47,2,38 - 52,14
5:35,2,38 - 53,15
5:35,2,38 - 54,16
5:10,2,40 - 54,14
4:18,2,40 - 56,16
4:06,2,42 - 56,14
3:55,2,42 - 59,17
3:40,2,44 - 59,15
2:55,2,44 - 61,17
2:12,2,46 - 61,15
1:50,2,46 - 64,18
1:38,2,47 - 64,17
1:38,2,48 - 64,16
1:16,2,50 - 64,14
0:43,2,51 - 64,13
0:43,2,52 - 64,12
0:00,2,52 - 64,12
12:00,3,52 - 64,12
11:02,3,54 - 64,10
10:39,3,55 - 64,9
9:41,3,55 - 66,11
8:23,3,56 - 66,10
8:23,3,57 - 66,9
7:49,3,57 - 68,11
7:40,3,60 - 68,8
7:29,3,60 - 71,11
6:53,3,60 - 73,13
6:27,3,62 - 73,11
6:04,3,65 - 73,8
5:48,3,65 - 75,10
5:48,3,65 - 76,11
5:05,3,67 - 76,9
4:01,3,69 - 76,7
3:48,3,69 - 79,10
3:03,3,71 - 79,8
2:48,3,71 - 82,11
2:30,3,72 - 82,10
2:16,3,72 - 84,12
2:01,3,73 - 84,11
1:00,3,75 - 84,9
0:53,3,75 - 86,11
0:02,3,77 - 86,9
0:00,3,77 - 86,9
12:00,4,77 - 86,9
11:49,4,79 - 86,7
11:33,4,79 - 87,8
11:33,4,79 - 88,9
10:48,4,79 - 91,12
10:33,4,80 - 91,11
10:19,4,80 - 94,14
10:01,4,80 - 95,15
10:01,4,80 - 96,16
9:19,4,80 - 98,18
8:47,4,82 - 98,16
8:32,4,82 - 101,19
8:23,4,83 - 101,18
8:23,4,84 - 101,17
7:46,4,84 - 103,19
6:57,4,86 - 103,17
6:30,4,88 - 103,15
6:14,4,88 - 106,18
5:53,4,91 - 106,15
5:26,4,93 - 106,13
4:49,4,95 - 106,11
4:08,4,95 - 108,13
3:49,4,95 - 109,14
3:49,4,95 - 110,15
3:10,4,97 - 110,13
2:53,4,97 - 112,15
2:31,4,99 - 112,13
2:05,4,100 - 112,12
2:05,4,101 - 112,11
1:51,4,101 - 115,14
1:42,4,103 - 115,12
1:20,4,103 - 117,14
1:11,4,105 - 117,12
0:37,4,107 - 117,10
0:30,4,107 - 118,11
0:30,4,107 - 119,12
0:00,4,107 - 119,12
