PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:33,1,3 - 0,-3
11:14,1,3 - 1,-2
11:14,1,3 - 2,-1
10:47,1,6 - 2,-4
10:37,1,6 - 4,-2
9:46,1,8 - 4,-4
9:30,1,11 - 4,-7
9:13,1,11 - 7,-4
8:57,1,13 - 7,-6
8:06,1,13 - 8,-5
8:06,1,13 - 9,-4
7:50,1,15 - 9,-6
7:29,1,15 - 11,-4
6:04,1,15 - 13,-2
5:44,1,15 - 15,TIE
5:29,1,18 - 15,-3
5:12,1,18 - 17,-1
4:32,1,20 - 17,-3
4:22,1,20 - 19,-1
3:53,1,22 - 19,-3
3:31,1,24 - 19,-5
2:43,1,24 - 21,-3
2:26,1,26 - 21,-5
2:09,1,26 - 24,-2
1:45,1,29 - 24,-5
1:27,1,29 - 26,-3
0:48,1,29 - 29,TIE
0:35,1,32 - 29,-3
0:00,1,32 - 29,-3
12:00,2,32 - 29,-3
11:42,2,34 - 29,-5
11:03,2,34 - 31,-3
10:06,2,34 - 33,-1
9:44,2,34 - 36,2
9:02,2,36 - 36,TIE
8:45,2,36 - 38,2
8:28,2,38 - 38,TIE
8:15,2,38 - 40,2
7:53,2,40 - 40,TIE
7:20,2,42 - 40,-2
6:59,2,42 - 42,TIE
6:56,2,43 - 42,-1
6:56,2,43 - 42,-1
5:23,2,46 - 42,-4
4:57,2,46 - 44,-2
4:57,2,46 - 45,-1
4:57,2,46 - 46,TIE
4:16,2,46 - 48,2
3:54,2,48 - 48,TIE
3:34,2,50 - 48,-2
3:34,2,51 - 48,-3
2:56,2,52 - 48,-4
2:56,2,53 - 48,-5
2:39,2,53 - 50,-3
2:02,2,53 - 52,-1
1:37,2,55 - 52,-3
1:00,2,58 - 52,-6
0:24,2,58 - 54,-4
0:01,2,60 - 54,-6
0:00,2,60 - 54,-6
12:00,3,60 - 54,-6
11:18,3,63 - 54,-9
9:20,3,63 - 56,-7
8:17,3,66 - 56,-10
7:33,3,68 - 56,-12
6:29,3,70 - 56,-14
5:54,3,73 - 56,-17
5:28,3,76 - 56,-20
5:10,3,76 - 58,-18
4:45,3,76 - 60,-16
4:28,3,77 - 60,-17
4:21,3,77 - 62,-15
4:04,3,79 - 62,-17
3:11,3,79 - 65,-14
2:35,3,81 - 65,-16
2:14,3,81 - 68,-13
1:37,3,84 - 68,-16
0:36,3,84 - 69,-15
0:36,3,84 - 70,-14
0:16,3,84 - 70,-14
0:16,3,84 - 71,-13
0:16,3,84 - 72,-12
0:00,3,84 - 72,-12
12:00,4,84 - 72,-12
11:49,4,84 - 75,-9
10:30,4,84 - 78,-6
10:30,4,84 - 79,-5
10:16,4,85 - 79,-6
10:03,4,85 - 81,-4
9:38,4,88 - 81,-7
8:01,4,90 - 81,-9
7:46,4,90 - 83,-7
7:09,4,92 - 83,-9
6:02,4,92 - 85,-7
5:39,4,92 - 85,-7
5:39,4,93 - 85,-8
5:39,4,94 - 85,-9
5:39,4,95 - 85,-10
5:13,4,95 - 87,-8
4:46,4,95 - 89,-6
4:08,4,97 - 89,-8
3:31,4,99 - 89,-10
2:33,4,99 - 91,-8
1:52,4,99 - 93,-6
1:31,4,102 - 93,-9
1:26,4,102 - 95,-7
1:25,4,103 - 95,-8
1:16,4,103 - 97,-6
0:49,4,103 - 99,-4
0:23,4,103 - 99,-4
0:22,4,104 - 99,-5
0:22,4,105 - 99,-6
0:17,4,105 - 101,-4
0:14,4,106 - 101,-5
0:14,4,107 - 101,-6
0:00,4,107 - 101,-6
