PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:46,1,3 - 0,-3
11:29,1,3 - 3,TIE
10:54,1,3 - 6,3
10:39,1,5 - 6,1
10:03,1,5 - 9,4
8:50,1,5 - 11,6
8:12,1,7 - 11,4
7:38,1,9 - 11,2
7:20,1,9 - 14,5
7:06,1,11 - 14,3
5:54,1,11 - 15,4
5:54,1,11 - 16,5
5:54,1,11 - 17,6
5:34,1,11 - 18,7
5:20,1,14 - 18,4
4:48,1,16 - 18,2
4:36,1,16 - 20,4
3:28,1,19 - 20,1
2:51,1,19 - 22,3
2:42,1,20 - 22,2
1:50,1,20 - 24,4
1:41,1,21 - 24,3
1:41,1,22 - 24,2
1:27,1,22 - 26,4
1:18,1,23 - 26,3
0:58,1,25 - 26,1
0:26,1,25 - 29,4
0:00,1,25 - 29,4
12:00,2,25 - 29,4
11:27,2,25 - 31,6
11:18,2,27 - 31,4
10:59,2,27 - 32,5
10:59,2,27 - 33,6
10:44,2,30 - 33,3
10:21,2,32 - 33,1
10:09,2,32 - 34,2
9:23,2,32 - 37,5
9:14,2,34 - 37,3
8:49,2,35 - 37,2
8:49,2,36 - 37,1
8:38,2,36 - 39,3
8:23,2,38 - 39,1
8:05,2,38 - 41,3
8:05,2,38 - 42,4
7:55,2,40 - 42,2
7:28,2,43 - 42,-1
7:00,2,43 - 43,TIE
7:00,2,43 - 44,1
6:34,2,43 - 46,3
6:25,2,45 - 46,1
6:25,2,46 - 46,TIE
6:04,2,49 - 46,-3
5:39,2,51 - 46,-5
4:33,2,51 - 47,-4
4:18,2,54 - 47,-7
3:46,2,54 - 49,-5
3:34,2,56 - 49,-7
2:29,2,58 - 49,-9
2:13,2,58 - 51,-7
1:38,2,58 - 53,-5
1:24,2,59 - 53,-6
1:24,2,60 - 53,-7
1:01,2,60 - 56,-4
0:14,2,62 - 56,-6
0:02,2,62 - 58,-4
0:00,2,62 - 58,-4
12:00,3,62 - 58,-4
11:44,3,62 - 61,-1
11:03,3,64 - 61,-3
11:03,3,65 - 61,-4
10:22,3,65 - 63,-2
9:31,3,65 - 66,1
9:17,3,66 - 66,TIE
9:17,3,67 - 66,-1
8:53,3,68 - 66,-2
8:53,3,69 - 66,-3
8:36,3,69 - 67,-2
8:36,3,69 - 68,-1
8:36,3,69 - 69,TIE
8:17,3,71 - 69,-2
7:38,3,71 - 70,-1
7:38,3,71 - 71,TIE
7:21,3,73 - 71,-2
6:54,3,75 - 71,-4
6:33,3,75 - 73,-2
6:06,3,75 - 76,1
5:38,3,75 - 78,3
4:58,3,75 - 81,6
4:36,3,75 - 83,8
4:22,3,78 - 83,5
4:06,3,78 - 85,7
3:41,3,78 - 88,10
3:07,3,81 - 88,7
2:54,3,81 - 90,9
2:30,3,81 - 92,11
2:08,3,81 - 94,13
1:33,3,83 - 94,11
0:24,3,83 - 96,13
0:00,3,85 - 96,11
0:00,3,85 - 96,11
12:00,4,85 - 96,11
10:56,4,88 - 96,8
10:40,4,88 - 99,11
9:51,4,89 - 99,10
9:51,4,90 - 99,9
9:30,4,90 - 102,12
8:40,4,93 - 102,9
8:15,4,94 - 102,8
8:15,4,95 - 102,7
8:03,4,95 - 104,9
7:34,4,97 - 104,7
6:44,4,99 - 104,5
6:27,4,99 - 106,7
5:55,4,99 - 108,9
5:39,4,101 - 108,7
5:13,4,101 - 111,10
4:54,4,102 - 111,9
4:35,4,102 - 113,11
3:53,4,102 - 115,13
2:35,4,102 - 117,15
2:00,4,102 - 118,16
1:02,4,104 - 118,14
0:07,4,106 - 118,12
0:07,4,107 - 118,11
0:00,4,107 - 118,11
