PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:30,1,0 - 2,2
10:46,1,3 - 2,-1
10:22,1,5 - 2,-3
10:04,1,5 - 5,TIE
9:43,1,6 - 5,-1
9:43,1,7 - 5,-2
9:16,1,9 - 5,-4
8:54,1,12 - 5,-7
8:38,1,12 - 7,-5
8:08,1,12 - 9,-3
7:15,1,12 - 12,TIE
6:43,1,12 - 14,2
6:16,1,12 - 16,4
5:07,1,12 - 18,6
4:21,1,14 - 18,4
3:07,1,16 - 18,2
2:15,1,16 - 21,5
0:48,1,18 - 21,3
0:13,1,18 - 24,6
0:00,1,18 - 24,6
12:00,2,18 - 24,6
10:21,2,19 - 24,5
10:21,2,20 - 24,4
9:50,2,20 - 26,6
9:15,2,20 - 28,8
9:05,2,23 - 28,5
8:30,2,26 - 28,2
7:51,2,28 - 28,TIE
7:01,2,28 - 30,2
6:20,2,30 - 30,TIE
6:02,2,30 - 32,2
5:29,2,32 - 32,TIE
4:52,2,34 - 32,-2
4:21,2,36 - 32,-4
3:47,2,39 - 32,-7
3:17,2,41 - 32,-9
2:57,2,41 - 34,-7
2:13,2,43 - 34,-9
1:35,2,46 - 34,-12
1:14,2,46 - 36,-10
1:14,2,46 - 37,-9
0:51,2,46 - 39,-7
0:30,2,48 - 39,-9
0:00,2,48 - 39,-9
12:00,3,48 - 39,-9
11:42,3,49 - 39,-10
11:14,3,49 - 42,-7
10:02,3,49 - 43,-6
10:02,3,49 - 44,-5
9:25,3,51 - 44,-7
9:11,3,51 - 45,-6
9:11,3,51 - 46,-5
8:57,3,52 - 46,-6
8:45,3,52 - 49,-3
8:27,3,54 - 49,-5
8:08,3,54 - 52,-2
7:50,3,55 - 52,-3
7:50,3,56 - 52,-4
7:37,3,56 - 53,-3
7:37,3,56 - 54,-2
6:46,3,58 - 54,-4
6:25,3,58 - 55,-3
5:56,3,58 - 57,-1
5:35,3,58 - 58,TIE
5:35,3,58 - 59,1
5:20,3,58 - 62,4
4:54,3,58 - 64,6
4:36,3,58 - 67,9
4:09,3,58 - 69,11
3:58,3,59 - 69,10
3:58,3,60 - 69,9
3:36,3,62 - 69,7
2:34,3,65 - 69,4
1:49,3,65 - 71,6
1:24,3,67 - 71,4
0:00,3,67 - 71,4
12:00,4,67 - 71,4
11:50,4,67 - 73,6
11:33,4,69 - 73,4
11:33,4,70 - 73,3
11:11,4,70 - 74,4
10:18,4,70 - 76,6
9:12,4,70 - 77,7
9:12,4,70 - 78,8
9:00,4,71 - 78,7
9:00,4,72 - 78,6
8:21,4,72 - 80,8
8:07,4,75 - 80,5
7:41,4,75 - 82,7
6:58,4,78 - 82,4
6:47,4,78 - 83,5
6:36,4,78 - 84,6
6:36,4,78 - 85,7
6:19,4,81 - 85,4
5:45,4,84 - 85,1
5:22,4,84 - 87,3
4:48,4,84 - 89,5
4:23,4,86 - 89,3
3:17,4,86 - 90,4
2:52,4,86 - 92,6
2:43,4,88 - 92,4
2:25,4,88 - 94,6
2:11,4,90 - 94,4
1:33,4,91 - 94,3
1:33,4,92 - 94,2
1:09,4,94 - 94,TIE
0:01,4,97 - 94,-3
0:00,4,97 - 94,-3
