PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:37,1,2 - 0,-2
11:09,1,4 - 0,-4
10:39,1,4 - 2,-2
9:26,1,4 - 4,TIE
9:08,1,6 - 4,-2
8:51,1,6 - 6,TIE
8:28,1,7 - 6,-1
8:28,1,8 - 6,-2
8:04,1,8 - 7,-1
7:56,1,10 - 7,-3
7:21,1,12 - 7,-5
6:51,1,12 - 9,-3
6:38,1,14 - 9,-5
5:25,1,16 - 9,-7
4:53,1,18 - 9,-9
4:39,1,18 - 11,-7
4:11,1,18 - 12,-6
4:11,1,18 - 13,-5
3:44,1,18 - 15,-3
3:13,1,20 - 15,-5
2:24,1,20 - 17,-3
1:41,1,22 - 17,-5
0:45,1,22 - 19,-3
0:00,1,22 - 19,-3
12:00,2,22 - 19,-3
11:31,2,24 - 19,-5
11:17,2,24 - 21,-3
11:01,2,26 - 21,-5
10:06,2,26 - 23,-3
8:45,2,26 - 24,-2
8:45,2,26 - 25,-1
8:15,2,26 - 27,1
8:00,2,28 - 27,-1
8:00,2,29 - 27,-2
7:29,2,31 - 27,-4
7:12,2,33 - 27,-6
6:40,2,35 - 27,-8
6:21,2,35 - 29,-6
6:05,2,37 - 29,-8
6:05,2,38 - 29,-9
5:58,2,38 - 31,-7
5:13,2,40 - 31,-9
4:22,2,42 - 31,-11
3:58,2,44 - 31,-13
3:11,2,47 - 31,-16
2:59,2,47 - 32,-15
2:59,2,47 - 33,-14
2:12,2,50 - 33,-17
1:50,2,51 - 33,-18
1:37,2,51 - 34,-17
1:23,2,53 - 34,-19
1:00,2,53 - 36,-17
0:37,2,53 - 37,-16
0:37,2,53 - 38,-15
0:00,2,53 - 38,-15
12:00,3,53 - 38,-15
11:43,3,53 - 40,-13
10:28,3,55 - 40,-15
10:15,3,55 - 42,-13
9:57,3,57 - 42,-15
9:36,3,57 - 44,-13
9:03,3,57 - 46,-11
8:45,3,59 - 46,-13
7:39,3,62 - 46,-16
6:57,3,64 - 46,-18
6:48,3,64 - 47,-17
6:48,3,64 - 48,-16
6:34,3,66 - 48,-18
6:18,3,66 - 50,-16
5:46,3,68 - 50,-18
4:24,3,69 - 50,-19
4:24,3,70 - 50,-20
3:23,3,72 - 50,-22
2:58,3,75 - 50,-25
2:19,3,76 - 50,-26
2:19,3,77 - 50,-27
2:10,3,77 - 53,-24
1:41,3,80 - 53,-27
1:32,3,80 - 55,-25
1:14,3,82 - 55,-27
1:06,3,82 - 58,-24
0:30,3,82 - 60,-22
0:15,3,83 - 60,-23
0:09,3,83 - 61,-22
0:09,3,83 - 62,-21
0:00,3,83 - 62,-21
12:00,4,83 - 62,-21
11:08,4,85 - 62,-23
10:44,4,85 - 64,-21
10:19,4,85 - 67,-18
10:03,4,87 - 67,-20
9:46,4,89 - 67,-22
9:46,4,90 - 67,-23
9:05,4,90 - 69,-21
8:49,4,93 - 69,-24
8:29,4,93 - 72,-21
8:06,4,93 - 74,-19
7:49,4,94 - 74,-20
7:32,4,94 - 76,-18
7:12,4,96 - 76,-20
6:40,4,98 - 76,-22
6:40,4,99 - 76,-23
6:21,4,101 - 76,-25
5:58,4,101 - 78,-23
5:44,4,104 - 78,-26
5:15,4,104 - 80,-24
5:15,4,104 - 81,-23
4:22,4,104 - 83,-21
3:55,4,104 - 85,-19
3:15,4,105 - 85,-20
3:15,4,106 - 85,-21
3:01,4,106 - 88,-18
2:43,4,108 - 88,-20
2:27,4,108 - 90,-18
1:56,4,108 - 92,-16
1:28,4,110 - 92,-18
1:19,4,110 - 95,-15
0:59,4,110 - 97,-13
0:59,4,113 - 97,-16
0:17,4,116 - 97,-19
0:00,4,116 - 97,-19
