PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:10,1,2 - 0,-2
9:58,1,3 - 0,-3
9:58,1,4 - 0,-4
9:36,1,4 - 2,-2
9:10,1,4 - 4,TIE
9:08,1,4 - 5,1
9:08,1,4 - 6,2
8:44,1,4 - 8,4
8:09,1,6 - 8,2
7:53,1,6 - 11,5
7:03,1,9 - 11,2
6:14,1,9 - 13,4
5:48,1,9 - 15,6
5:22,1,12 - 15,3
4:53,1,12 - 17,5
4:32,1,15 - 17,2
4:17,1,15 - 19,4
4:09,1,17 - 19,2
2:48,1,17 - 21,4
2:41,1,19 - 21,2
1:34,1,20 - 21,1
1:08,1,22 - 21,-1
0:58,1,22 - 23,1
0:47,1,24 - 23,-1
0:16,1,24 - 26,2
0:00,1,24 - 26,2
12:00,2,24 - 26,2
11:41,2,24 - 28,4
11:11,2,26 - 28,2
10:36,2,28 - 28,TIE
10:29,2,29 - 28,-1
10:29,2,33 - 33,TIE
10:12,2,29 - 30,1
9:56,2,31 - 30,-1
9:47,2,31 - 31,TIE
9:35,2,31 - 33,2
9:16,2,33 - 33,TIE
8:58,2,33 - 35,2
8:33,2,33 - 37,4
8:12,2,33 - 39,6
7:53,2,35 - 39,4
7:05,2,37 - 39,2
6:39,2,39 - 39,TIE
6:39,2,40 - 39,-1
6:03,2,40 - 42,2
5:16,2,40 - 43,3
5:03,2,43 - 43,TIE
4:39,2,45 - 43,-2
4:28,2,45 - 45,TIE
4:06,2,47 - 45,-2
3:54,2,47 - 46,-1
3:47,2,48 - 46,-2
3:47,2,49 - 46,-3
3:21,2,51 - 46,-5
3:21,2,52 - 46,-6
3:15,2,52 - 46,-6
2:41,2,52 - 47,-5
2:41,2,52 - 48,-4
2:33,2,55 - 48,-7
2:01,2,55 - 50,-5
1:52,2,56 - 50,-6
0:48,2,56 - 53,-3
0:33,2,58 - 53,-5
0:00,2,58 - 53,-5
12:00,3,58 - 53,-5
11:39,3,60 - 53,-7
11:20,3,60 - 55,-5
11:04,3,62 - 55,-7
10:12,3,62 - 57,-5
9:55,3,62 - 59,-3
9:25,3,62 - 62,TIE
8:53,3,64 - 62,-2
7:37,3,64 - 65,1
7:00,3,64 - 66,2
6:18,3,64 - 69,5
6:04,3,66 - 69,3
4:49,3,68 - 69,1
4:28,3,68 - 72,4
3:17,3,69 - 72,3
3:17,3,70 - 72,2
2:45,3,70 - 72,2
2:33,3,70 - 74,4
1:48,3,71 - 74,3
1:48,3,72 - 74,2
1:26,3,72 - 77,5
1:06,3,74 - 77,3
0:46,3,74 - 79,5
0:46,3,74 - 80,6
0:34,3,76 - 80,4
0:00,3,76 - 80,4
12:00,4,76 - 80,4
11:21,4,78 - 80,2
10:54,4,78 - 82,4
10:28,4,80 - 82,2
9:47,4,80 - 84,4
9:13,4,80 - 86,6
8:58,4,82 - 86,4
7:56,4,84 - 86,2
7:33,4,84 - 87,3
7:24,4,86 - 87,1
7:12,4,86 - 89,3
6:27,4,88 - 89,1
6:27,4,89 - 89,TIE
6:11,4,90 - 89,-1
6:11,4,91 - 89,-2
4:48,4,91 - 90,-1
4:01,4,92 - 90,-2
3:24,4,95 - 90,-5
2:53,4,97 - 90,-7
2:37,4,97 - 93,-4
2:37,4,97 - 93,-4
1:59,4,97 - 95,-2
1:48,4,98 - 95,-3
1:48,4,99 - 95,-4
1:05,4,99 - 97,-2
0:45,4,102 - 97,-5
0:33,4,103 - 97,-6
0:33,4,104 - 97,-7
0:31,4,104 - 100,-4
0:29,4,105 - 100,-5
0:29,4,106 - 100,-6
0:15,4,107 - 100,-7
0:15,4,108 - 100,-8
0:00,4,108 - 100,-8
