PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
10:53,1,0 - 3,3
9:58,1,0 - 5,5
9:35,1,0 - 7,7
8:23,1,0 - 10,10
6:56,1,0 - 11,11
6:56,1,0 - 12,12
6:14,1,0 - 14,14
5:49,1,0 - 16,16
5:01,1,2 - 16,14
4:49,1,2 - 19,17
4:15,1,5 - 19,14
3:21,1,5 - 20,15
3:21,1,5 - 21,16
2:47,1,6 - 21,15
2:47,1,7 - 21,14
2:31,1,10 - 21,11
2:14,1,10 - 22,12
2:14,1,10 - 23,13
1:40,1,12 - 23,11
1:02,1,14 - 23,9
0:47,1,14 - 25,11
0:47,1,14 - 26,12
0:00,1,14 - 26,12
12:00,2,14 - 26,12
11:34,2,14 - 28,14
11:13,2,16 - 28,12
10:06,2,18 - 28,10
9:29,2,18 - 30,12
8:54,2,18 - 32,14
8:29,2,18 - 35,17
7:20,2,19 - 35,16
7:20,2,20 - 35,15
7:20,2,21 - 35,14
6:36,2,23 - 35,12
6:16,2,25 - 35,10
6:03,2,25 - 37,12
5:21,2,25 - 39,14
4:07,2,28 - 39,11
3:42,2,31 - 39,8
3:05,2,31 - 42,11
2:32,2,34 - 42,8
2:20,2,34 - 45,11
1:50,2,34 - 47,13
0:31,2,37 - 47,10
0:17,2,37 - 50,13
0:00,2,37 - 50,13
12:00,3,37 - 50,13
11:42,3,39 - 50,11
11:20,3,39 - 52,13
10:27,3,39 - 54,15
10:08,3,40 - 54,14
8:54,3,40 - 56,16
8:01,3,42 - 56,14
6:31,3,44 - 56,12
5:42,3,46 - 56,10
4:56,3,46 - 58,12
4:36,3,47 - 58,11
4:36,3,48 - 58,10
4:03,3,48 - 59,11
3:54,3,48 - 61,13
3:24,3,50 - 61,11
3:09,3,50 - 64,14
2:48,3,52 - 64,12
2:26,3,54 - 64,10
2:26,3,55 - 64,9
2:08,3,55 - 66,11
1:00,3,55 - 68,13
0:39,3,55 - 70,15
0:34,3,57 - 70,13
0:00,3,57 - 70,13
12:00,4,57 - 70,13
10:47,4,59 - 70,11
9:40,4,61 - 70,9
9:20,4,61 - 72,11
8:49,4,61 - 75,14
8:31,4,62 - 75,13
7:51,4,63 - 75,12
7:51,4,64 - 75,11
7:37,4,64 - 76,12
7:37,4,64 - 77,13
7:17,4,64 - 79,15
6:52,4,64 - 82,18
6:34,4,67 - 82,15
5:59,4,67 - 84,17
5:33,4,68 - 84,16
5:18,4,68 - 86,18
5:11,4,69 - 86,17
4:52,4,69 - 88,19
4:11,4,71 - 88,17
3:37,4,73 - 88,15
3:24,4,73 - 90,17
2:59,4,73 - 93,20
2:05,4,73 - 95,22
1:46,4,75 - 95,20
1:35,4,75 - 97,22
1:24,4,77 - 97,20
1:13,4,77 - 99,22
0:52,4,77 - 100,23
0:52,4,77 - 101,24
0:40,4,79 - 101,22
0:18,4,81 - 101,20
0:00,4,81 - 101,20
