PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:43,1,2 - 0,-2
11:18,1,4 - 0,-4
11:02,1,5 - 0,-5
11:02,1,6 - 0,-6
10:35,1,8 - 0,-8
9:25,1,8 - 2,-6
9:04,1,10 - 2,-8
8:56,1,10 - 4,-6
8:56,1,10 - 5,-5
8:44,1,13 - 5,-8
8:32,1,13 - 8,-5
8:16,1,15 - 8,-7
8:11,1,15 - 9,-6
8:01,1,18 - 9,-9
7:41,1,18 - 12,-6
7:31,1,20 - 12,-8
6:45,1,21 - 12,-9
6:45,1,22 - 12,-10
6:26,1,24 - 12,-12
5:53,1,24 - 14,-10
5:36,1,26 - 14,-12
5:18,1,28 - 14,-14
4:53,1,30 - 14,-16
4:28,1,33 - 14,-19
4:00,1,33 - 16,-17
3:35,1,35 - 16,-19
3:24,1,35 - 18,-17
2:57,1,37 - 18,-19
2:12,1,37 - 19,-18
2:12,1,37 - 20,-17
1:24,1,40 - 20,-20
1:05,1,40 - 22,-18
0:35,1,40 - 24,-16
0:23,1,43 - 24,-19
0:00,1,43 - 24,-19
12:00,2,43 - 24,-19
11:45,2,43 - 25,-18
11:45,2,43 - 26,-17
11:11,2,43 - 28,-15
10:54,2,43 - 30,-13
10:54,2,43 - 31,-12
10:06,2,43 - 32,-11
9:26,2,43 - 34,-9
9:15,2,44 - 34,-10
9:15,2,45 - 34,-11
8:52,2,46 - 34,-12
8:36,2,48 - 34,-14
7:57,2,48 - 36,-12
7:49,2,50 - 36,-14
7:37,2,50 - 37,-13
7:37,2,50 - 38,-12
7:17,2,50 - 39,-11
7:17,2,50 - 40,-10
6:57,2,50 - 42,-8
6:37,2,52 - 42,-10
6:17,2,52 - 44,-8
6:08,2,55 - 44,-11
5:47,2,55 - 46,-9
5:31,2,57 - 46,-11
5:20,2,57 - 47,-10
5:20,2,57 - 48,-9
4:45,2,59 - 48,-11
4:17,2,60 - 48,-12
4:17,2,61 - 48,-13
4:05,2,61 - 50,-11
3:48,2,63 - 50,-13
3:11,2,65 - 50,-15
2:46,2,65 - 52,-13
2:46,2,65 - 53,-12
2:33,2,65 - 55,-10
2:23,2,66 - 55,-11
2:23,2,67 - 55,-12
1:47,2,69 - 55,-14
1:15,2,69 - 57,-12
1:14,2,69 - 58,-11
0:59,2,72 - 58,-14
0:30,2,75 - 58,-17
0:10,2,75 - 60,-15
0:04,2,76 - 60,-16
0:00,2,76 - 60,-16
12:00,3,76 - 60,-16
11:30,3,78 - 60,-18
11:02,3,80 - 60,-20
10:48,3,80 - 62,-18
10:10,3,83 - 62,-21
9:43,3,83 - 64,-19
9:28,3,85 - 64,-21
9:09,3,85 - 66,-19
8:42,3,85 - 68,-17
8:24,3,87 - 68,-19
7:55,3,87 - 71,-16
7:36,3,89 - 71,-18
6:04,3,91 - 71,-20
6:04,3,92 - 71,-21
5:42,3,95 - 71,-24
5:18,3,95 - 74,-21
5:04,3,97 - 74,-23
4:53,3,97 - 77,-20
4:38,3,98 - 77,-21
4:38,3,99 - 77,-22
4:18,3,99 - 79,-20
3:53,3,99 - 82,-17
3:40,3,101 - 82,-19
3:40,3,102 - 82,-20
3:25,3,102 - 85,-17
3:09,3,102 - 87,-15
3:09,3,102 - 88,-14
2:47,3,104 - 88,-16
2:38,3,104 - 90,-14
2:12,3,104 - 92,-12
2:04,3,105 - 92,-13
2:04,3,106 - 92,-14
1:36,3,109 - 92,-17
1:01,3,109 - 94,-15
0:43,3,111 - 94,-17
0:27,3,114 - 94,-20
0:00,3,114 - 94,-20
12:00,4,114 - 94,-20
11:51,4,116 - 94,-22
11:31,4,116 - 97,-19
10:34,4,118 - 97,-21
10:23,4,118 - 99,-19
8:52,4,120 - 99,-21
8:17,4,122 - 99,-23
8:17,4,122 - 99,-23
7:59,4,124 - 99,-25
7:38,4,126 - 99,-27
7:24,4,126 - 101,-25
6:44,4,128 - 101,-27
6:37,4,128 - 102,-26
6:37,4,128 - 103,-25
6:18,4,131 - 103,-28
6:08,4,131 - 105,-26
5:49,4,133 - 105,-28
5:33,4,133 - 108,-25
5:07,4,133 - 109,-24
4:57,4,133 - 111,-22
4:39,4,135 - 111,-24
4:16,4,137 - 111,-26
3:46,4,139 - 111,-28
3:31,4,139 - 113,-26
3:20,4,142 - 113,-29
2:53,4,142 - 115,-27
2:14,4,144 - 115,-29
1:58,4,144 - 117,-27
1:42,4,146 - 117,-29
1:34,4,148 - 117,-31
1:22,4,148 - 118,-30
1:22,4,148 - 119,-29
0:55,4,148 - 121,-27
0:24,4,148 - 124,-24
0:00,4,148 - 124,-24
