PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:16,1,2 - 0,-2
11:16,1,3 - 0,-3
10:59,1,3 - 3,TIE
10:39,1,5 - 3,-2
10:26,1,5 - 5,TIE
10:00,1,7 - 5,-2
9:44,1,7 - 7,TIE
8:50,1,9 - 7,-2
8:35,1,9 - 9,TIE
8:18,1,11 - 9,-2
7:41,1,13 - 9,-4
6:41,1,13 - 11,-2
6:03,1,15 - 11,-4
5:51,1,15 - 13,-2
4:54,1,15 - 16,1
3:56,1,17 - 16,-1
3:33,1,17 - 18,1
3:21,1,19 - 18,-1
2:59,1,19 - 20,1
2:38,1,19 - 23,4
2:18,1,21 - 23,2
1:39,1,23 - 23,TIE
0:46,1,23 - 26,3
0:31,1,24 - 26,2
0:31,1,25 - 26,1
0:00,1,25 - 26,1
12:00,2,25 - 26,1
10:48,2,27 - 26,-1
10:48,2,28 - 26,-2
10:18,2,30 - 26,-4
9:16,2,30 - 28,-2
9:00,2,32 - 28,-4
8:45,2,32 - 29,-3
8:45,2,32 - 30,-2
8:05,2,32 - 32,TIE
7:14,2,32 - 35,3
6:53,2,34 - 35,1
6:39,2,34 - 37,3
5:44,2,36 - 37,1
5:05,2,36 - 38,2
4:44,2,38 - 38,TIE
4:27,2,38 - 39,1
4:27,2,38 - 40,2
4:27,2,38 - 41,3
2:38,2,40 - 41,1
2:21,2,40 - 44,4
2:04,2,41 - 44,3
1:47,2,41 - 47,6
1:01,2,41 - 49,8
0:49,2,43 - 49,6
0:02,2,43 - 51,8
0:01,2,44 - 51,7
0:01,2,45 - 51,6
0:00,2,45 - 51,6
12:00,3,45 - 51,6
11:13,3,45 - 53,8
10:49,3,45 - 55,10
10:00,3,47 - 55,8
9:41,3,49 - 55,6
9:14,3,52 - 55,3
8:48,3,52 - 57,5
8:29,3,53 - 57,4
8:29,3,54 - 57,3
8:04,3,56 - 57,1
7:48,3,56 - 59,3
7:34,3,58 - 59,1
7:06,3,58 - 61,3
7:06,3,58 - 62,4
6:56,3,59 - 62,3
6:56,3,60 - 62,2
6:36,3,60 - 64,4
5:42,3,60 - 66,6
5:20,3,61 - 66,5
5:20,3,62 - 66,4
4:30,3,64 - 66,2
4:13,3,64 - 68,4
3:45,3,64 - 71,7
3:06,3,67 - 71,4
2:22,3,67 - 73,6
1:26,3,69 - 73,4
1:06,3,71 - 73,2
0:14,3,71 - 74,3
0:14,3,71 - 75,4
0:00,3,71 - 75,4
12:00,4,71 - 75,4
11:42,4,72 - 75,3
11:09,4,75 - 75,TIE
11:09,4,76 - 75,-1
9:58,4,78 - 75,-3
9:18,4,80 - 75,-5
7:49,4,80 - 78,-2
7:15,4,83 - 78,-5
6:44,4,83 - 80,-3
6:28,4,84 - 80,-4
6:23,4,86 - 80,-6
6:07,4,86 - 82,-4
5:31,4,86 - 84,-2
4:08,4,86 - 86,TIE
3:48,4,88 - 86,-2
3:27,4,88 - 88,TIE
3:12,4,90 - 88,-2
2:41,4,90 - 91,1
1:24,4,90 - 92,2
1:24,4,90 - 93,3
1:04,4,92 - 93,1
0:43,4,93 - 93,TIE
0:43,4,94 - 93,-1
0:32,4,94 - 94,TIE
0:32,4,94 - 95,1
0:13,4,94 - 96,2
0:13,4,94 - 97,3
0:01,4,97 - 97,TIE
0:00,4,97 - 97,TIE
5:00,5,97 - 97,TIE
4:33,5,99 - 97,-2
4:09,5,99 - 100,1
2:45,5,100 - 100,TIE
2:45,5,101 - 100,-1
2:22,5,101 - 103,2
1:38,5,103 - 103,TIE
0:25,5,103 - 104,1
0:25,5,103 - 105,2
0:10,5,103 - 105,2
0:07,5,103 - 106,3
0:07,5,103 - 107,4
0:00,5,103 - 107,4
