PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:38,1,2 - 0,-2
11:08,1,2 - 2,TIE
11:01,1,4 - 2,-2
10:43,1,4 - 4,TIE
9:10,1,7 - 4,-3
8:16,1,9 - 4,-5
8:16,1,10 - 4,-6
7:32,1,11 - 4,-7
7:32,1,12 - 4,-8
6:54,1,15 - 4,-11
6:10,1,15 - 6,-9
5:52,1,17 - 6,-11
5:41,1,17 - 8,-9
5:05,1,19 - 8,-11
4:26,1,19 - 9,-10
4:26,1,19 - 10,-9
4:09,1,19 - 12,-7
3:52,1,22 - 12,-10
3:21,1,22 - 14,-8
2:39,1,24 - 14,-10
2:21,1,24 - 16,-8
2:01,1,26 - 16,-10
1:11,1,26 - 18,-8
0:55,1,29 - 18,-11
0:38,1,32 - 18,-14
0:17,1,32 - 20,-12
0:00,1,32 - 20,-12
12:00,2,32 - 20,-12
11:17,2,35 - 20,-15
11:01,2,35 - 22,-13
10:16,2,38 - 22,-16
9:47,2,41 - 22,-19
9:17,2,43 - 22,-21
9:04,2,43 - 25,-18
8:39,2,45 - 25,-20
8:16,2,48 - 25,-23
7:05,2,48 - 26,-22
7:05,2,48 - 27,-21
6:09,2,48 - 29,-19
5:48,2,50 - 29,-21
5:33,2,50 - 31,-19
5:06,2,52 - 31,-21
4:11,2,54 - 31,-23
3:41,2,57 - 31,-26
3:20,2,57 - 34,-23
3:01,2,59 - 34,-25
2:35,2,59 - 37,-22
2:11,2,61 - 37,-24
1:47,2,61 - 39,-22
1:33,2,63 - 39,-24
0:49,2,65 - 39,-26
0:00,2,65 - 39,-26
12:00,3,65 - 39,-26
11:45,3,65 - 42,-23
11:30,3,68 - 42,-26
11:10,3,68 - 44,-24
10:54,3,71 - 44,-27
10:38,3,71 - 47,-24
10:05,3,74 - 47,-27
9:54,3,74 - 49,-25
9:19,3,76 - 49,-27
8:51,3,79 - 49,-30
7:37,3,81 - 49,-32
7:11,3,81 - 50,-31
7:05,3,82 - 50,-32
7:05,3,83 - 50,-33
6:26,3,85 - 50,-35
5:23,3,85 - 53,-32
4:47,3,85 - 55,-30
4:21,3,85 - 56,-29
4:21,3,85 - 57,-28
4:04,3,85 - 58,-27
4:04,3,85 - 59,-26
3:14,3,86 - 59,-27
3:14,3,87 - 59,-28
2:23,3,90 - 59,-31
2:11,3,90 - 61,-29
2:00,3,93 - 61,-32
1:59,3,93 - 61,-32
1:43,3,93 - 63,-30
1:23,3,93 - 66,-27
1:10,3,94 - 66,-28
1:00,3,94 - 67,-27
0:06,3,97 - 67,-30
0:00,3,97 - 69,-28
0:00,3,97 - 69,-28
0:00,3,97 - 69,-28
12:00,4,97 - 69,-28
11:42,4,98 - 69,-29
11:42,4,99 - 69,-30
11:30,4,99 - 72,-27
10:51,4,102 - 72,-30
10:06,4,102 - 74,-28
9:21,4,104 - 74,-30
8:50,4,107 - 74,-33
8:12,4,109 - 74,-35
7:07,4,109 - 76,-33
6:44,4,110 - 76,-34
6:44,4,111 - 76,-35
5:42,4,111 - 78,-33
4:41,4,113 - 78,-35
4:23,4,113 - 80,-33
3:53,4,113 - 82,-31
3:36,4,115 - 82,-33
3:26,4,115 - 83,-32
3:05,4,115 - 85,-30
2:40,4,117 - 85,-32
2:08,4,119 - 85,-34
2:08,4,120 - 85,-35
1:52,4,120 - 86,-34
0:37,4,120 - 88,-32
0:00,4,120 - 88,-32
