PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:47,1,2 - 0,-2
8:33,1,4 - 0,-4
7:59,1,6 - 0,-6
7:36,1,6 - 2,-4
7:23,1,8 - 2,-6
7:06,1,8 - 4,-4
6:54,1,11 - 4,-7
6:37,1,11 - 6,-5
6:08,1,11 - 8,-3
5:41,1,11 - 10,-1
5:21,1,13 - 10,-3
5:09,1,13 - 12,-1
4:05,1,15 - 12,-3
3:28,1,15 - 14,-1
3:07,1,16 - 14,-2
2:10,1,16 - 16,TIE
1:41,1,18 - 16,-2
1:22,1,18 - 18,TIE
0:00,1,18 - 18,TIE
12:00,2,18 - 18,TIE
11:36,2,18 - 19,1
11:36,2,18 - 20,2
11:15,2,18 - 21,3
10:48,2,20 - 21,1
10:34,2,20 - 24,4
10:16,2,22 - 24,2
10:04,2,22 - 26,4
9:45,2,24 - 26,2
9:32,2,26 - 26,TIE
9:17,2,26 - 28,2
9:07,2,27 - 28,1
8:52,2,27 - 30,3
8:39,2,30 - 30,TIE
8:18,2,30 - 31,1
7:35,2,32 - 31,-1
7:11,2,34 - 31,-3
6:52,2,34 - 33,-1
6:12,2,34 - 35,1
5:59,2,35 - 35,TIE
5:45,2,35 - 37,2
5:20,2,37 - 37,TIE
5:03,2,37 - 39,2
4:36,2,37 - 41,4
3:09,2,37 - 42,5
3:09,2,37 - 43,6
2:51,2,38 - 43,5
2:51,2,39 - 43,4
2:35,2,39 - 45,6
2:12,2,41 - 45,4
1:52,2,42 - 45,3
1:36,2,42 - 48,6
0:58,2,42 - 50,8
0:08,2,44 - 50,6
0:00,2,44 - 50,6
12:00,3,44 - 50,6
11:06,3,46 - 50,4
11:06,3,47 - 50,3
10:06,3,47 - 52,5
9:51,3,49 - 52,3
9:31,3,49 - 55,6
8:21,3,49 - 56,7
8:21,3,49 - 57,8
8:08,3,52 - 57,5
7:18,3,52 - 59,7
7:18,3,52 - 60,8
6:48,3,52 - 63,11
6:10,3,52 - 65,13
5:59,3,54 - 65,11
5:39,3,54 - 67,13
5:05,3,54 - 69,15
4:47,3,56 - 69,13
4:23,3,56 - 71,15
3:41,3,56 - 73,17
1:22,3,58 - 73,15
1:02,3,58 - 74,16
0:40,3,60 - 74,14
0:24,3,60 - 77,17
0:00,3,60 - 77,17
12:00,4,60 - 77,17
10:58,4,60 - 78,18
10:37,4,60 - 79,19
10:37,4,60 - 80,20
10:17,4,60 - 82,22
9:47,4,63 - 82,19
9:31,4,63 - 84,21
9:17,4,65 - 84,19
9:17,4,66 - 84,18
9:01,4,66 - 86,20
8:48,4,68 - 86,18
8:26,4,71 - 86,15
6:46,4,74 - 86,12
5:39,4,74 - 88,14
5:03,4,74 - 91,17
4:33,4,74 - 93,19
3:44,4,74 - 95,21
3:25,4,76 - 95,19
3:00,4,78 - 95,17
2:40,4,79 - 95,16
2:40,4,80 - 95,15
2:19,4,83 - 95,12
1:58,4,83 - 98,15
1:42,4,85 - 98,13
1:17,4,86 - 98,12
1:17,4,87 - 98,11
0:14,4,90 - 98,8
0:00,4,90 - 98,8
