PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:38,1,0 - 2,2
11:21,1,2 - 2,TIE
11:06,1,2 - 3,1
11:06,1,2 - 4,2
9:08,1,2 - 6,4
8:45,1,2 - 8,6
8:18,1,2 - 10,8
7:59,1,4 - 10,6
7:13,1,6 - 10,4
6:45,1,6 - 13,7
6:20,1,8 - 13,5
6:04,1,10 - 13,3
5:33,1,10 - 15,5
5:08,1,10 - 17,7
4:46,1,12 - 17,5
4:37,1,12 - 19,7
3:57,1,14 - 19,5
3:49,1,16 - 19,3
3:40,1,16 - 21,5
3:15,1,18 - 21,3
2:44,1,19 - 21,2
2:44,1,20 - 21,1
2:24,1,20 - 23,3
2:08,1,22 - 23,1
1:47,1,22 - 26,4
1:32,1,24 - 26,2
1:06,1,25 - 26,1
1:06,1,26 - 26,TIE
0:46,1,26 - 29,3
0:36,1,28 - 29,1
0:00,1,28 - 29,1
12:00,2,28 - 29,1
11:32,2,30 - 29,-1
10:54,2,32 - 29,-3
10:29,2,32 - 32,TIE
10:12,2,35 - 32,-3
9:18,2,35 - 34,-1
8:51,2,37 - 34,-3
8:44,2,37 - 34,-3
7:39,2,39 - 34,-5
7:20,2,39 - 36,-3
7:20,2,39 - 37,-2
7:02,2,41 - 37,-4
6:27,2,41 - 39,-2
6:07,2,43 - 39,-4
5:56,2,43 - 41,-2
5:34,2,45 - 41,-4
5:17,2,45 - 43,-2
4:26,2,46 - 43,-3
4:11,2,47 - 43,-4
4:11,2,48 - 43,-5
4:11,2,49 - 43,-6
3:46,2,51 - 43,-8
3:12,2,53 - 43,-10
2:31,2,55 - 43,-12
2:21,2,57 - 43,-14
2:12,2,57 - 44,-13
2:12,2,57 - 45,-12
1:38,2,57 - 48,-9
1:24,2,58 - 48,-10
1:01,2,59 - 48,-11
1:01,2,60 - 48,-12
0:48,2,60 - 49,-11
0:13,2,62 - 49,-13
0:00,2,62 - 49,-13
12:00,3,62 - 49,-13
10:33,3,62 - 51,-11
9:56,3,62 - 53,-9
9:34,3,64 - 53,-11
9:01,3,67 - 53,-14
8:49,3,67 - 55,-12
8:49,3,67 - 56,-11
8:28,3,67 - 56,-11
8:28,3,67 - 57,-10
8:11,3,69 - 57,-12
8:04,3,69 - 60,-9
6:46,3,71 - 60,-11
6:40,3,71 - 62,-9
6:14,3,73 - 62,-11
5:40,3,75 - 62,-13
5:12,3,78 - 62,-16
4:59,3,78 - 65,-13
4:38,3,81 - 65,-16
4:00,3,83 - 65,-18
3:37,3,85 - 65,-20
3:20,3,85 - 68,-17
2:54,3,87 - 68,-19
2:36,3,87 - 70,-17
2:20,3,90 - 70,-20
2:07,3,90 - 73,-17
1:51,3,93 - 73,-20
1:03,3,93 - 76,-17
0:00,3,93 - 76,-17
12:00,4,93 - 76,-17
11:35,4,93 - 78,-15
11:00,4,93 - 80,-13
10:36,4,95 - 80,-15
9:45,4,95 - 83,-12
9:07,4,98 - 83,-15
8:54,4,98 - 84,-14
8:54,4,98 - 85,-13
8:21,4,98 - 88,-10
7:59,4,101 - 88,-13
7:19,4,103 - 88,-15
7:19,4,104 - 88,-16
5:56,4,106 - 88,-18
5:19,4,106 - 90,-16
4:57,4,108 - 90,-18
4:46,4,108 - 92,-16
4:24,4,110 - 92,-18
4:07,4,110 - 95,-15
2:29,4,111 - 95,-16
2:29,4,112 - 95,-17
2:29,4,113 - 95,-18
2:14,4,113 - 97,-16
1:53,4,115 - 97,-18
1:46,4,115 - 100,-15
1:11,4,115 - 102,-13
0:49,4,116 - 102,-14
0:49,4,117 - 102,-15
0:22,4,120 - 102,-18
0:00,4,120 - 102,-18
