PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:17,1,2 - 0,-2
11:08,1,2 - 1,-1
10:55,1,4 - 1,-3
10:43,1,4 - 3,-1
10:06,1,4 - 6,2
10:06,1,4 - 7,3
9:50,1,7 - 7,TIE
9:29,1,9 - 7,-2
9:21,1,9 - 10,1
9:09,1,11 - 10,-1
8:51,1,11 - 12,1
8:35,1,13 - 12,-1
7:45,1,13 - 15,2
7:31,1,16 - 15,-1
6:59,1,18 - 15,-3
6:35,1,18 - 18,TIE
6:24,1,20 - 18,-2
6:06,1,20 - 19,-1
6:06,1,20 - 20,TIE
6:06,1,20 - 21,1
5:31,1,22 - 21,-1
5:20,1,22 - 22,TIE
5:15,1,22 - 24,2
5:03,1,24 - 24,TIE
4:37,1,26 - 24,-2
4:25,1,26 - 26,TIE
4:10,1,28 - 26,-2
3:57,1,28 - 28,TIE
3:08,1,28 - 31,3
2:47,1,28 - 33,5
2:13,1,28 - 35,7
2:04,1,30 - 35,5
1:53,1,30 - 37,7
1:40,1,32 - 37,5
1:24,1,32 - 39,7
1:12,1,33 - 39,6
1:12,1,34 - 39,5
1:02,1,34 - 42,8
0:43,1,35 - 42,7
0:33,1,35 - 44,9
0:13,1,36 - 44,8
0:13,1,37 - 44,7
0:00,1,37 - 44,7
0:00,1,37 - 44,7
12:00,2,37 - 44,7
11:38,2,39 - 44,5
10:53,2,39 - 45,6
10:53,2,39 - 46,7
10:22,2,41 - 46,5
9:42,2,43 - 46,3
9:30,2,43 - 48,5
9:30,2,43 - 49,6
9:16,2,45 - 49,4
8:53,2,45 - 51,6
8:33,2,47 - 51,4
8:02,2,49 - 51,2
7:32,2,51 - 51,TIE
7:00,2,51 - 53,2
6:13,2,54 - 53,-1
6:03,2,54 - 54,TIE
6:03,2,54 - 55,1
5:43,2,54 - 58,4
5:14,2,56 - 58,2
5:07,2,56 - 60,4
4:55,2,57 - 60,3
4:55,2,58 - 60,2
4:27,2,60 - 60,TIE
4:08,2,62 - 60,-2
3:35,2,65 - 60,-5
3:06,2,67 - 60,-7
2:06,2,69 - 60,-9
1:54,2,69 - 61,-8
1:54,2,69 - 62,-7
1:54,2,69 - 63,-6
1:37,2,71 - 63,-8
1:15,2,71 - 65,-6
0:54,2,72 - 65,-7
0:00,2,72 - 65,-7
12:00,3,72 - 65,-7
11:48,3,75 - 65,-10
10:53,3,77 - 65,-12
9:53,3,77 - 66,-11
9:40,3,78 - 66,-12
9:05,3,80 - 66,-14
8:51,3,80 - 69,-11
8:34,3,82 - 69,-13
8:05,3,82 - 71,-11
7:34,3,84 - 71,-13
7:06,3,87 - 71,-16
6:34,3,88 - 71,-17
6:23,3,88 - 73,-15
5:56,3,88 - 75,-13
5:22,3,88 - 78,-10
5:07,3,91 - 78,-13
4:46,3,91 - 80,-11
4:00,3,91 - 83,-8
3:35,3,92 - 83,-9
3:35,3,93 - 83,-10
3:21,3,94 - 83,-11
3:21,3,95 - 83,-12
3:10,3,95 - 85,-10
2:47,3,97 - 85,-12
1:57,3,97 - 86,-11
1:51,3,97 - 87,-10
1:51,3,97 - 88,-9
1:21,3,97 - 89,-8
1:21,3,97 - 90,-7
0:47,3,98 - 90,-8
0:47,3,99 - 90,-9
0:28,3,101 - 90,-11
0:00,3,101 - 90,-11
12:00,4,101 - 90,-11
11:07,4,101 - 92,-9
10:33,4,101 - 95,-6
9:02,4,101 - 97,-4
8:50,4,103 - 97,-6
8:09,4,103 - 100,-3
7:42,4,105 - 100,-5
6:47,4,105 - 101,-4
6:47,4,105 - 102,-3
6:26,4,106 - 102,-4
6:26,4,107 - 102,-5
5:50,4,109 - 102,-7
5:11,4,109 - 105,-4
4:55,4,111 - 105,-6
4:40,4,111 - 108,-3
4:20,4,112 - 108,-4
3:43,4,114 - 108,-6
3:19,4,114 - 110,-4
2:52,4,114 - 111,-3
2:45,4,117 - 111,-6
2:25,4,117 - 112,-5
2:25,4,117 - 113,-4
2:13,4,119 - 113,-6
1:48,4,119 - 116,-3
1:16,4,119 - 118,-1
1:16,4,119 - 119,TIE
1:05,4,122 - 119,-3
0:17,4,122 - 122,TIE
0:00,4,122 - 122,TIE
0:00,4,122 - 122,TIE
5:00,5,122 - 122,TIE
4:22,5,125 - 122,-3
3:13,5,125 - 124,-1
2:40,5,125 - 127,2
2:21,5,127 - 127,TIE
1:59,5,127 - 129,2
1:54,5,128 - 129,1
1:54,5,129 - 129,TIE
1:05,5,131 - 129,-2
1:05,5,131 - 129,-2
0:47,5,131 - 131,TIE
0:04,5,131 - 133,2
0:00,5,132 - 133,1
0:00,5,133 - 133,TIE
0:00,5,133 - 133,TIE
5:00,6,133 - 133,TIE
4:38,6,135 - 133,-2
4:24,6,135 - 135,TIE
4:07,6,137 - 135,-2
4:07,6,138 - 135,-3
3:44,6,139 - 135,-4
3:30,6,139 - 137,-2
2:42,6,139 - 140,1
2:23,6,141 - 140,-1
1:54,6,142 - 140,-2
0:52,6,142 - 141,-1
0:52,6,142 - 142,TIE
0:05,6,142 - 144,2
0:03,6,142 - 145,3
0:03,6,142 - 146,4
0:03,6,142 - 147,5
0:03,6,142 - 148,6
0:00,6,142 - 148,6
