PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:01,1,0 - 2,2
9:31,1,0 - 4,4
8:24,1,2 - 4,2
8:24,1,3 - 4,1
7:49,1,3 - 6,3
7:32,1,5 - 6,1
7:19,1,5 - 7,2
7:19,1,5 - 8,3
7:01,1,5 - 10,5
6:38,1,7 - 10,3
5:45,1,7 - 12,5
4:35,1,7 - 15,8
4:15,1,9 - 15,6
4:10,1,9 - 17,8
3:49,1,9 - 18,9
3:49,1,9 - 19,10
3:15,1,9 - 22,13
2:32,1,12 - 22,10
2:10,1,12 - 24,12
1:10,1,12 - 25,13
0:29,1,13 - 25,12
0:29,1,14 - 25,11
0:01,1,16 - 25,9
0:00,1,16 - 25,9
12:00,2,16 - 25,9
11:45,2,16 - 27,11
11:31,2,18 - 27,9
10:34,2,20 - 27,7
9:55,2,22 - 27,5
8:38,2,24 - 27,3
8:26,2,24 - 30,6
7:58,2,26 - 30,4
7:37,2,26 - 33,7
6:59,2,28 - 33,5
6:45,2,28 - 35,7
6:35,2,31 - 35,4
4:30,2,31 - 38,7
4:17,2,31 - 39,8
4:17,2,31 - 40,9
3:52,2,31 - 43,12
3:35,2,33 - 43,10
3:10,2,33 - 46,13
2:50,2,33 - 47,14
2:26,2,33 - 49,16
2:10,2,35 - 49,14
1:51,2,35 - 51,16
1:33,2,37 - 51,14
1:10,2,37 - 53,16
0:35,2,39 - 53,14
0:05,2,39 - 55,16
0:00,2,40 - 55,15
0:00,2,41 - 55,14
0:00,2,41 - 55,14
12:00,3,41 - 55,14
11:43,3,41 - 58,17
11:11,3,41 - 61,20
10:29,3,43 - 61,18
9:50,3,43 - 63,20
9:34,3,43 - 64,21
9:24,3,44 - 64,20
9:24,3,45 - 64,19
8:35,3,47 - 64,17
8:02,3,48 - 64,16
7:56,3,48 - 65,17
7:39,3,48 - 67,19
7:16,3,48 - 69,21
6:41,3,48 - 71,23
6:27,3,51 - 71,20
5:56,3,54 - 71,17
5:29,3,54 - 73,19
4:52,3,54 - 76,22
4:24,3,54 - 79,25
4:07,3,55 - 79,24
4:07,3,56 - 79,23
3:32,3,59 - 79,20
2:01,3,60 - 79,19
2:01,3,61 - 79,18
1:32,3,62 - 79,17
1:15,3,62 - 82,20
0:57,3,65 - 82,17
0:38,3,65 - 83,18
0:27,3,65 - 84,19
0:27,3,65 - 85,20
0:07,3,67 - 85,18
0:00,3,67 - 85,18
12:00,4,67 - 85,18
11:06,4,67 - 88,21
10:38,4,67 - 90,23
10:20,4,69 - 90,21
10:00,4,69 - 93,24
9:45,4,72 - 93,21
9:20,4,72 - 95,23
9:02,4,75 - 95,20
8:36,4,75 - 97,22
8:01,4,78 - 97,19
7:43,4,78 - 100,22
7:19,4,80 - 100,20
7:08,4,80 - 103,23
6:49,4,82 - 103,21
6:49,4,83 - 103,20
6:34,4,83 - 103,20
6:18,4,86 - 103,17
5:43,4,88 - 103,15
4:58,4,88 - 105,17
4:35,4,88 - 107,19
4:35,4,88 - 108,20
4:22,4,90 - 108,18
4:02,4,93 - 108,15
3:40,4,93 - 110,17
3:29,4,95 - 110,15
3:29,4,96 - 110,14
3:14,4,96 - 112,16
2:26,4,96 - 114,18
2:15,4,98 - 114,16
2:15,4,99 - 114,15
1:24,4,100 - 114,14
1:24,4,101 - 114,13
0:23,4,101 - 115,14
0:00,4,101 - 115,14
