PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:43,1,0 - 2,2
11:13,1,0 - 5,5
10:48,1,0 - 8,8
10:12,1,3 - 8,5
9:10,1,5 - 8,3
8:12,1,7 - 8,1
8:12,1,8 - 8,TIE
7:35,1,8 - 10,2
7:32,1,10 - 10,TIE
7:32,1,10 - 11,1
7:14,1,10 - 13,3
6:48,1,13 - 13,TIE
6:35,1,13 - 15,2
6:12,1,13 - 17,4
5:45,1,15 - 17,2
5:23,1,15 - 18,3
5:23,1,15 - 19,4
5:06,1,15 - 21,6
4:28,1,15 - 23,8
4:15,1,17 - 23,6
3:47,1,17 - 25,8
3:18,1,17 - 27,10
2:39,1,19 - 27,8
2:39,1,20 - 27,7
1:34,1,20 - 29,9
1:06,1,20 - 32,12
0:36,1,20 - 33,13
0:28,1,22 - 33,11
0:28,1,23 - 33,10
0:01,1,24 - 33,9
0:01,1,25 - 33,8
0:01,1,26 - 33,7
0:00,1,26 - 33,7
12:00,2,26 - 33,7
11:45,2,28 - 33,5
11:29,2,28 - 34,6
11:15,2,30 - 34,4
10:57,2,30 - 36,6
10:37,2,32 - 36,4
10:19,2,34 - 36,2
10:01,2,37 - 36,-1
9:33,2,37 - 37,TIE
9:07,2,39 - 37,-2
9:01,2,39 - 39,TIE
8:23,2,41 - 39,-2
7:46,2,41 - 42,1
7:24,2,43 - 42,-1
6:21,2,43 - 44,1
5:20,2,43 - 47,4
5:04,2,45 - 47,2
4:51,2,45 - 50,5
4:23,2,45 - 52,7
4:03,2,47 - 52,5
3:45,2,47 - 54,7
3:11,2,47 - 56,9
2:50,2,47 - 59,12
2:04,2,47 - 62,15
1:43,2,47 - 64,17
1:03,2,47 - 66,19
0:53,2,48 - 66,18
0:41,2,48 - 69,21
0:36,2,49 - 69,20
0:00,2,49 - 69,20
12:00,3,49 - 69,20
11:50,3,51 - 69,18
11:15,3,54 - 69,15
9:35,3,56 - 69,13
9:01,3,59 - 69,10
8:38,3,61 - 69,8
8:13,3,63 - 69,6
8:13,3,64 - 69,5
7:48,3,64 - 71,7
7:07,3,64 - 73,9
6:50,3,67 - 73,6
6:10,3,67 - 75,8
5:56,3,70 - 75,5
5:47,3,70 - 78,8
5:35,3,72 - 78,6
5:01,3,75 - 78,3
4:24,3,76 - 78,2
4:00,3,76 - 80,4
3:31,3,76 - 82,6
3:20,3,78 - 82,4
3:03,3,78 - 84,6
3:03,3,78 - 85,7
2:38,3,80 - 85,5
2:24,3,80 - 88,8
2:06,3,80 - 91,11
1:50,3,83 - 91,8
0:56,3,85 - 91,6
0:44,3,88 - 91,3
0:00,3,88 - 91,3
12:00,4,88 - 91,3
11:52,4,88 - 93,5
10:04,4,90 - 93,3
9:48,4,90 - 95,5
9:12,4,93 - 95,2
8:49,4,94 - 95,1
8:31,4,96 - 95,-1
8:12,4,96 - 98,2
7:53,4,99 - 98,-1
7:53,4,99 - 98,-1
7:53,4,100 - 98,-2
6:47,4,100 - 101,1
6:19,4,102 - 101,-1
5:04,4,102 - 104,2
5:04,4,102 - 105,3
4:51,4,104 - 105,1
4:22,4,107 - 105,-2
3:53,4,110 - 105,-5
3:33,4,110 - 107,-3
3:19,4,113 - 107,-6
3:08,4,113 - 108,-5
2:30,4,115 - 108,-7
2:11,4,118 - 108,-10
2:01,4,118 - 110,-8
1:14,4,119 - 110,-9
1:14,4,120 - 110,-10
1:08,4,120 - 113,-7
0:59,4,121 - 113,-8
0:59,4,122 - 113,-9
0:49,4,122 - 115,-7
0:49,4,122 - 115,-7
0:46,4,123 - 115,-8
0:46,4,124 - 115,-9
0:27,4,125 - 115,-10
0:00,4,125 - 115,-10
