PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:45,1,0 - 2,2
11:30,1,2 - 2,TIE
10:55,1,4 - 2,-2
10:16,1,4 - 4,TIE
9:28,1,4 - 6,2
9:07,1,5 - 6,1
8:45,1,5 - 8,3
8:29,1,7 - 8,1
8:14,1,7 - 10,3
7:41,1,7 - 12,5
7:29,1,8 - 12,4
6:36,1,8 - 14,6
5:33,1,8 - 16,8
5:03,1,11 - 16,5
5:03,1,11 - 16,5
4:44,1,11 - 19,8
4:19,1,13 - 19,6
3:26,1,15 - 19,4
3:04,1,15 - 22,7
2:46,1,17 - 22,5
2:08,1,20 - 22,2
1:34,1,22 - 22,TIE
1:17,1,22 - 25,3
0:38,1,22 - 28,6
0:22,1,24 - 28,4
0:00,1,24 - 28,4
12:00,2,24 - 28,4
11:34,2,25 - 28,3
11:34,2,26 - 28,2
10:03,2,29 - 28,-1
9:29,2,31 - 28,-3
8:56,2,31 - 31,TIE
8:02,2,31 - 32,1
7:45,2,31 - 34,3
7:32,2,33 - 34,1
7:32,2,34 - 34,TIE
6:56,2,36 - 34,-2
6:34,2,38 - 34,-4
6:20,2,38 - 36,-2
5:33,2,38 - 39,1
4:21,2,38 - 41,3
4:07,2,39 - 41,2
4:07,2,40 - 41,1
3:45,2,40 - 43,3
3:30,2,42 - 43,1
3:14,2,42 - 45,3
1:56,2,44 - 45,1
1:37,2,44 - 47,3
1:09,2,44 - 49,5
1:09,2,44 - 50,6
0:46,2,44 - 52,8
0:18,2,44 - 55,11
0:03,2,45 - 55,10
0:03,2,46 - 55,9
0:00,2,46 - 55,9
12:00,3,46 - 55,9
11:50,3,46 - 57,11
11:15,3,47 - 57,10
11:15,3,48 - 57,9
10:44,3,50 - 57,7
10:18,3,52 - 57,5
9:53,3,54 - 57,3
9:53,3,55 - 57,2
9:21,3,55 - 58,3
9:21,3,55 - 59,4
9:00,3,55 - 62,7
8:45,3,58 - 62,4
8:29,3,58 - 64,6
8:11,3,61 - 64,3
7:54,3,61 - 66,5
7:42,3,64 - 66,2
7:27,3,64 - 67,3
7:27,3,64 - 68,4
7:16,3,67 - 68,1
6:43,3,67 - 70,3
5:25,3,69 - 70,1
4:51,3,71 - 70,-1
4:31,3,71 - 72,1
3:52,3,71 - 75,4
3:34,3,73 - 75,2
2:20,3,75 - 75,TIE
2:02,3,75 - 77,2
1:26,3,77 - 77,TIE
1:06,3,77 - 79,2
0:41,3,77 - 82,5
0:02,3,77 - 84,7
0:00,3,77 - 84,7
12:00,4,77 - 84,7
11:17,4,79 - 84,5
9:56,4,79 - 86,7
8:45,4,79 - 87,8
8:45,4,79 - 88,9
8:07,4,79 - 90,11
8:07,4,79 - 91,12
7:42,4,80 - 91,11
7:42,4,81 - 91,10
6:52,4,81 - 93,12
6:36,4,84 - 93,9
5:57,4,86 - 93,7
4:46,4,86 - 94,8
4:46,4,86 - 95,9
4:16,4,86 - 96,10
4:16,4,86 - 97,11
3:39,4,86 - 99,13
3:33,4,88 - 99,11
3:15,4,88 - 101,13
2:11,4,91 - 101,10
0:52,4,91 - 103,12
0:52,4,91 - 104,13
0:36,4,93 - 104,11
0:36,4,94 - 104,10
0:17,4,94 - 106,12
0:00,4,94 - 106,12
