PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:07,1,2 - 0,-2
10:48,1,2 - 3,1
10:21,1,2 - 6,4
10:04,1,5 - 6,1
9:16,1,6 - 6,TIE
9:16,1,7 - 6,-1
8:52,1,9 - 6,-3
8:25,1,11 - 6,-5
8:04,1,11 - 9,-2
7:45,1,13 - 9,-4
7:45,1,14 - 9,-5
7:06,1,14 - 11,-3
6:42,1,15 - 11,-4
6:42,1,16 - 11,-5
6:17,1,16 - 13,-3
5:31,1,16 - 15,-1
5:21,1,18 - 15,-3
5:21,1,19 - 15,-4
4:58,1,19 - 16,-3
4:46,1,20 - 16,-4
4:46,1,21 - 16,-5
4:24,1,23 - 16,-7
4:07,1,23 - 18,-5
3:52,1,25 - 18,-7
3:45,1,25 - 20,-5
3:30,1,27 - 20,-7
2:31,1,27 - 22,-5
2:21,1,29 - 22,-7
1:53,1,31 - 22,-9
1:39,1,31 - 24,-7
1:21,1,31 - 26,-5
1:01,1,33 - 26,-7
0:51,1,33 - 29,-4
0:38,1,35 - 29,-6
0:00,1,35 - 29,-6
12:00,2,35 - 29,-6
11:41,2,38 - 29,-9
11:01,2,40 - 29,-11
10:46,2,40 - 31,-9
10:15,2,40 - 34,-6
9:55,2,42 - 34,-8
9:27,2,45 - 34,-11
9:04,2,46 - 34,-12
9:04,2,47 - 34,-13
9:04,2,48 - 34,-14
8:08,2,48 - 36,-12
7:48,2,48 - 38,-10
7:23,2,48 - 40,-8
7:06,2,50 - 40,-10
6:55,2,50 - 42,-8
6:25,2,53 - 42,-11
5:58,2,55 - 42,-13
5:04,2,58 - 42,-16
4:48,2,58 - 44,-14
4:08,2,59 - 44,-15
3:13,2,59 - 46,-13
1:54,2,59 - 48,-11
1:37,2,61 - 48,-13
1:00,2,61 - 49,-12
1:00,2,61 - 50,-11
0:46,2,61 - 52,-9
0:06,2,61 - 54,-7
0:00,2,63 - 54,-9
0:00,2,63 - 54,-9
0:00,2,63 - 54,-9
12:00,3,63 - 54,-9
11:43,3,63 - 56,-7
11:22,3,64 - 56,-8
11:22,3,65 - 56,-9
10:53,3,65 - 58,-7
10:28,3,67 - 58,-9
9:12,3,69 - 58,-11
8:49,3,69 - 60,-9
8:38,3,71 - 60,-11
8:20,3,71 - 62,-9
8:06,3,74 - 62,-12
7:37,3,76 - 62,-14
7:28,3,76 - 65,-11
6:53,3,76 - 67,-9
5:23,3,76 - 69,-7
5:01,3,78 - 69,-9
4:06,3,80 - 69,-11
3:47,3,80 - 71,-9
3:38,3,81 - 71,-10
3:10,3,83 - 71,-12
2:33,3,83 - 73,-10
2:13,3,84 - 73,-11
2:13,3,85 - 73,-12
1:44,3,85 - 76,-9
1:04,3,85 - 78,-7
0:51,3,87 - 78,-9
0:26,3,88 - 78,-10
0:26,3,89 - 78,-11
0:05,3,91 - 78,-13
0:01,3,91 - 80,-11
0:00,3,91 - 80,-11
12:00,4,91 - 80,-11
11:26,4,93 - 80,-13
10:44,4,95 - 80,-15
9:53,4,95 - 83,-12
8:58,4,95 - 86,-9
8:23,4,95 - 88,-7
7:53,4,95 - 91,-4
7:23,4,97 - 91,-6
6:54,4,99 - 91,-8
6:36,4,99 - 91,-8
6:36,4,99 - 92,-7
6:36,4,99 - 93,-6
5:16,4,101 - 93,-8
5:06,4,101 - 95,-6
5:06,4,101 - 96,-5
3:55,4,101 - 97,-4
3:55,4,101 - 98,-3
2:38,4,103 - 98,-5
2:31,4,103 - 99,-4
2:31,4,103 - 100,-3
2:20,4,104 - 100,-4
1:38,4,104 - 101,-3
1:38,4,104 - 102,-2
0:59,4,106 - 102,-4
0:12,4,107 - 102,-5
0:12,4,108 - 102,-6
0:00,4,108 - 102,-6
