PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:42,1,0 - 1,1
11:42,1,0 - 2,2
10:48,1,0 - 5,5
10:24,1,3 - 5,2
10:06,1,3 - 6,3
9:27,1,3 - 9,6
9:15,1,5 - 9,4
8:39,1,7 - 9,2
8:08,1,7 - 11,4
7:57,1,7 - 12,5
7:22,1,7 - 14,7
6:38,1,10 - 14,4
6:17,1,10 - 17,7
5:51,1,12 - 17,5
5:00,1,12 - 19,7
4:24,1,12 - 21,9
4:08,1,15 - 21,6
2:51,1,17 - 21,4
2:28,1,17 - 23,6
2:06,1,20 - 23,3
2:04,1,21 - 23,2
1:15,1,21 - 25,4
0:56,1,23 - 25,2
0:46,1,23 - 27,4
0:35,1,24 - 27,3
0:01,1,26 - 27,1
0:00,1,26 - 27,1
0:00,1,26 - 27,1
12:00,2,26 - 27,1
10:37,2,28 - 27,-1
10:10,2,30 - 27,-3
10:10,2,31 - 27,-4
9:25,2,31 - 30,-1
9:09,2,31 - 31,TIE
8:50,2,34 - 31,-3
8:41,2,34 - 32,-2
8:41,2,34 - 33,-1
8:19,2,37 - 33,-4
8:12,2,37 - 35,-2
7:46,2,37 - 38,1
7:31,2,40 - 38,-2
7:04,2,40 - 38,-2
6:48,2,40 - 39,-1
6:25,2,42 - 39,-3
6:14,2,42 - 41,-1
5:52,2,44 - 41,-3
5:34,2,44 - 43,-1
4:57,2,46 - 43,-3
4:04,2,48 - 43,-5
3:54,2,48 - 44,-4
3:42,2,50 - 44,-6
3:25,2,50 - 46,-4
3:12,2,52 - 46,-6
3:04,2,52 - 48,-4
2:39,2,52 - 50,-2
2:25,2,54 - 50,-4
2:03,2,54 - 52,-2
1:46,2,56 - 52,-4
1:31,2,56 - 54,-2
1:12,2,59 - 54,-5
0:58,2,59 - 55,-4
0:58,2,59 - 56,-3
0:31,2,59 - 58,-1
0:31,2,59 - 59,TIE
0:20,2,61 - 59,-2
0:02,2,61 - 61,TIE
0:00,2,61 - 61,TIE
12:00,3,61 - 61,TIE
11:25,3,61 - 63,2
10:55,3,64 - 63,-1
10:46,3,64 - 64,TIE
10:46,3,64 - 65,1
10:22,3,64 - 66,2
10:22,3,64 - 67,3
9:59,3,66 - 67,1
9:43,3,66 - 69,3
9:34,3,69 - 69,TIE
9:15,3,69 - 71,2
8:48,3,69 - 74,5
8:25,3,71 - 74,3
8:25,3,72 - 74,2
8:09,3,72 - 76,4
7:26,3,72 - 79,7
7:07,3,74 - 79,5
6:51,3,74 - 81,7
6:34,3,75 - 81,6
5:55,3,76 - 81,5
5:55,3,77 - 81,4
5:02,3,80 - 81,1
4:39,3,82 - 81,-1
4:27,3,83 - 81,-2
3:35,3,85 - 81,-4
3:12,3,85 - 83,-2
2:31,3,87 - 83,-4
1:57,3,88 - 83,-5
1:39,3,88 - 85,-3
1:15,3,88 - 87,-1
1:02,3,91 - 87,-4
0:23,3,94 - 87,-7
0:00,3,94 - 87,-7
12:00,4,94 - 87,-7
11:50,4,94 - 89,-5
11:19,4,94 - 91,-3
10:43,4,94 - 92,-2
10:23,4,94 - 93,-1
10:00,4,96 - 93,-3
9:30,4,99 - 93,-6
9:09,4,100 - 93,-7
9:09,4,101 - 93,-8
8:50,4,103 - 93,-10
8:27,4,103 - 95,-8
8:11,4,106 - 95,-11
6:56,4,108 - 95,-13
6:22,4,108 - 96,-12
6:22,4,108 - 97,-11
6:02,4,111 - 97,-14
5:19,4,113 - 97,-16
5:01,4,115 - 97,-18
4:50,4,115 - 97,-18
4:41,4,115 - 100,-15
4:21,4,117 - 100,-17
3:53,4,119 - 100,-19
3:03,4,122 - 100,-22
2:00,4,124 - 100,-24
1:50,4,124 - 103,-21
1:23,4,124 - 104,-20
0:44,4,126 - 104,-22
0:13,4,126 - 107,-19
0:00,4,126 - 107,-19
