PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:17,1,3 - 0,-3
10:51,1,5 - 0,-5
10:51,1,6 - 0,-6
10:40,1,6 - 1,-5
10:28,1,6 - 3,-3
10:09,1,8 - 3,-5
9:33,1,10 - 3,-7
9:10,1,10 - 5,-5
8:39,1,10 - 7,-3
8:21,1,12 - 7,-5
8:05,1,12 - 9,-3
7:48,1,14 - 9,-5
7:22,1,16 - 9,-7
6:54,1,19 - 9,-10
6:05,1,19 - 12,-7
5:02,1,19 - 15,-4
4:35,1,19 - 16,-3
4:35,1,19 - 17,-2
4:29,1,21 - 17,-4
3:56,1,21 - 19,-2
3:41,1,24 - 19,-5
3:03,1,24 - 21,-3
2:52,1,26 - 21,-5
2:38,1,26 - 23,-3
2:20,1,28 - 23,-5
2:20,1,29 - 23,-6
1:37,1,32 - 23,-9
1:10,1,32 - 25,-7
0:00,1,32 - 25,-7
12:00,2,32 - 25,-7
11:44,2,32 - 28,-4
11:25,2,34 - 28,-6
11:25,2,35 - 28,-7
11:02,2,38 - 28,-10
10:22,2,38 - 30,-8
10:04,2,40 - 30,-10
9:42,2,40 - 32,-8
8:56,2,42 - 32,-10
8:00,2,42 - 34,-8
8:00,2,42 - 35,-7
7:42,2,42 - 37,-5
7:14,2,42 - 39,-3
6:59,2,45 - 39,-6
6:44,2,45 - 40,-5
6:44,2,45 - 41,-4
5:15,2,45 - 43,-2
4:34,2,45 - 45,TIE
4:06,2,48 - 45,-3
3:43,2,48 - 48,TIE
3:29,2,49 - 48,-1
3:29,2,50 - 48,-2
3:15,2,50 - 51,1
2:51,2,50 - 54,4
1:37,2,53 - 54,1
1:23,2,53 - 56,3
1:14,2,55 - 56,1
0:48,2,55 - 58,3
0:34,2,57 - 58,1
0:15,2,57 - 59,2
0:15,2,57 - 60,3
0:00,2,57 - 60,3
0:00,2,57 - 60,3
12:00,3,57 - 60,3
11:28,3,60 - 60,TIE
10:57,3,63 - 60,-3
10:22,3,65 - 60,-5
10:03,3,65 - 61,-4
10:03,3,65 - 62,-3
9:25,3,67 - 62,-5
9:12,3,67 - 64,-3
9:12,3,67 - 65,-2
8:30,3,67 - 67,TIE
8:18,3,69 - 67,-2
8:02,3,69 - 70,1
7:55,3,71 - 70,-1
7:36,3,71 - 72,1
7:22,3,74 - 72,-2
6:54,3,74 - 75,1
5:45,3,74 - 77,3
4:14,3,77 - 77,TIE
3:42,3,78 - 77,-1
3:42,3,79 - 77,-2
3:10,3,79 - 78,-1
3:10,3,79 - 79,TIE
2:46,3,81 - 79,-2
2:25,3,83 - 79,-4
2:09,3,83 - 81,-2
1:53,3,86 - 81,-5
1:23,3,86 - 83,-3
0:47,3,86 - 85,-1
0:15,3,86 - 88,2
0:00,3,88 - 88,TIE
0:00,3,88 - 88,TIE
12:00,4,88 - 88,TIE
11:29,4,88 - 90,2
11:08,4,88 - 93,5
10:08,4,88 - 95,7
9:43,4,90 - 95,5
9:27,4,90 - 98,8
9:01,4,92 - 98,6
8:48,4,92 - 101,9
8:33,4,95 - 101,6
8:02,4,95 - 104,9
7:30,4,95 - 106,11
6:24,4,95 - 108,13
6:10,4,97 - 108,11
5:57,4,97 - 110,13
5:57,4,97 - 111,14
5:42,4,98 - 111,13
5:23,4,98 - 113,15
5:05,4,100 - 113,13
4:10,4,103 - 113,10
3:51,4,103 - 115,12
3:39,4,106 - 115,9
3:24,4,106 - 118,12
2:28,4,108 - 118,10
2:28,4,109 - 118,9
2:27,4,109 - 119,10
2:08,4,109 - 120,11
1:46,4,112 - 120,8
1:12,4,115 - 120,5
0:13,4,115 - 121,6
0:13,4,115 - 122,7
0:10,4,116 - 122,6
0:10,4,117 - 122,5
0:10,4,118 - 122,4
0:10,4,118 - 123,5
0:10,4,118 - 124,6
0:05,4,121 - 124,3
0:04,4,121 - 125,4
0:04,4,121 - 126,5
0:00,4,121 - 126,5
