PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:47,1,0 - 2,2
11:22,1,2 - 2,TIE
11:01,1,4 - 2,-2
10:16,1,4 - 5,1
9:32,1,6 - 5,-1
9:13,1,6 - 8,2
9:02,1,7 - 8,1
9:02,1,8 - 8,TIE
8:20,1,10 - 8,-2
7:44,1,10 - 9,-1
6:53,1,10 - 10,TIE
6:53,1,10 - 11,1
6:28,1,10 - 13,3
6:10,1,12 - 13,1
5:59,1,12 - 15,3
5:16,1,12 - 17,5
4:07,1,12 - 20,8
3:38,1,12 - 22,10
3:00,1,12 - 24,12
2:32,1,15 - 24,9
2:04,1,18 - 24,6
1:45,1,18 - 26,8
1:34,1,19 - 26,7
1:34,1,20 - 26,6
1:16,1,20 - 28,8
0:21,1,20 - 30,10
0:02,1,22 - 30,8
0:00,1,22 - 30,8
12:00,2,22 - 30,8
11:27,2,22 - 32,10
10:55,2,24 - 32,8
10:44,2,24 - 35,11
10:14,2,24 - 37,13
9:43,2,24 - 38,14
9:25,2,26 - 38,12
8:52,2,29 - 38,9
8:22,2,31 - 38,7
8:07,2,31 - 41,10
7:50,2,32 - 41,9
7:50,2,33 - 41,8
7:29,2,36 - 41,5
6:38,2,36 - 43,7
6:30,2,38 - 43,5
6:30,2,39 - 43,4
6:09,2,39 - 45,6
5:52,2,41 - 45,4
5:16,2,43 - 45,2
4:50,2,43 - 45,2
4:20,2,43 - 47,4
3:17,2,44 - 47,3
2:27,2,46 - 47,1
1:21,2,46 - 49,3
1:02,2,46 - 52,6
0:00,2,46 - 52,6
12:00,3,46 - 52,6
11:41,3,46 - 54,8
11:31,3,49 - 54,5
10:24,3,51 - 54,3
10:04,3,51 - 56,5
9:34,3,51 - 59,8
9:14,3,53 - 59,6
8:55,3,53 - 62,9
8:44,3,55 - 62,7
8:26,3,55 - 64,9
8:09,3,57 - 64,7
7:52,3,57 - 66,9
7:31,3,57 - 69,12
6:56,3,57 - 71,14
5:53,3,57 - 73,16
5:12,3,57 - 74,17
4:45,3,60 - 74,14
3:28,3,60 - 75,15
3:28,3,60 - 76,16
3:06,3,62 - 76,14
3:06,3,63 - 76,13
2:21,3,63 - 78,15
1:39,3,63 - 80,17
1:22,3,64 - 80,16
1:22,3,65 - 80,15
1:01,3,65 - 82,17
0:39,3,68 - 82,14
0:00,3,68 - 82,14
12:00,4,68 - 82,14
11:49,4,68 - 85,17
11:21,4,68 - 87,19
11:02,4,68 - 89,21
10:35,4,68 - 91,23
10:23,4,70 - 91,21
9:33,4,70 - 93,23
9:10,4,72 - 93,21
8:55,4,72 - 94,22
8:55,4,72 - 95,23
7:53,4,72 - 97,25
7:42,4,75 - 97,22
7:10,4,75 - 100,25
6:49,4,76 - 100,24
6:49,4,77 - 100,23
6:07,4,79 - 100,21
6:07,4,80 - 100,20
5:16,4,81 - 100,19
5:16,4,82 - 100,18
4:39,4,82 - 103,21
4:22,4,83 - 103,20
4:22,4,84 - 103,19
4:07,4,84 - 104,20
4:07,4,84 - 105,21
3:56,4,86 - 105,19
2:20,4,87 - 105,18
2:20,4,88 - 105,17
2:08,4,88 - 107,19
0:34,4,88 - 110,22
0:24,4,89 - 110,21
0:00,4,89 - 110,21
