PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:40,1,0 - 1,1
11:40,1,0 - 2,2
10:30,1,0 - 4,4
10:02,1,0 - 7,7
9:22,1,2 - 7,5
9:05,1,2 - 8,6
8:48,1,4 - 8,4
8:27,1,4 - 11,7
7:58,1,7 - 11,4
6:37,1,7 - 12,5
6:11,1,7 - 14,7
5:35,1,9 - 14,5
5:10,1,11 - 14,3
4:49,1,11 - 17,6
4:37,1,12 - 17,5
4:37,1,13 - 17,4
4:24,1,13 - 18,5
4:24,1,13 - 19,6
3:31,1,15 - 19,4
3:13,1,15 - 21,6
3:00,1,17 - 21,4
2:44,1,17 - 23,6
2:11,1,17 - 25,8
2:03,1,18 - 25,7
2:03,1,19 - 25,6
0:43,1,20 - 25,5
0:43,1,21 - 25,4
0:31,1,21 - 26,5
0:31,1,21 - 27,6
0:17,1,24 - 27,3
0:00,1,24 - 27,3
12:00,2,24 - 27,3
11:42,2,26 - 27,1
10:58,2,26 - 28,2
10:48,2,28 - 28,TIE
10:04,2,30 - 28,-2
9:35,2,32 - 28,-4
9:08,2,34 - 28,-6
8:33,2,34 - 30,-4
8:33,2,34 - 31,-3
8:15,2,37 - 31,-6
7:30,2,37 - 32,-5
7:30,2,37 - 33,-4
7:06,2,37 - 35,-2
6:42,2,39 - 35,-4
6:42,2,39 - 35,-4
6:18,2,42 - 35,-7
5:31,2,42 - 37,-5
4:44,2,43 - 37,-6
4:44,2,44 - 37,-7
4:27,2,44 - 40,-4
3:48,2,46 - 40,-6
3:17,2,48 - 40,-8
2:53,2,48 - 42,-6
2:40,2,50 - 42,-8
1:44,2,50 - 45,-5
1:25,2,52 - 45,-7
1:16,2,52 - 46,-6
1:16,2,52 - 47,-5
1:03,2,54 - 47,-7
0:40,2,55 - 47,-8
0:40,2,56 - 47,-9
0:40,2,57 - 47,-10
0:00,2,57 - 47,-10
12:00,3,57 - 47,-10
11:17,3,57 - 50,-7
11:10,3,60 - 50,-10
10:09,3,60 - 52,-8
9:55,3,63 - 52,-11
9:34,3,64 - 52,-12
9:13,3,64 - 54,-10
8:52,3,66 - 54,-12
8:21,3,66 - 55,-11
8:21,3,66 - 56,-10
8:08,3,66 - 56,-10
8:08,3,67 - 56,-11
7:54,3,67 - 57,-10
7:54,3,67 - 58,-9
7:31,3,67 - 60,-7
7:11,3,67 - 62,-5
6:24,3,67 - 64,-3
6:06,3,69 - 64,-5
5:48,3,69 - 66,-3
5:21,3,71 - 66,-5
5:07,3,71 - 68,-3
4:42,3,71 - 70,-1
4:31,3,74 - 70,-4
4:15,3,74 - 72,-2
3:55,3,76 - 72,-4
3:42,3,76 - 73,-3
3:42,3,76 - 74,-2
3:29,3,76 - 76,TIE
3:06,3,78 - 76,-2
2:55,3,78 - 78,TIE
2:36,3,80 - 78,-2
1:57,3,80 - 81,1
1:38,3,82 - 81,-1
0:54,3,83 - 81,-2
0:54,3,84 - 81,-3
0:00,3,84 - 81,-3
12:00,4,84 - 81,-3
9:59,4,84 - 84,TIE
9:37,4,86 - 84,-2
8:59,4,88 - 84,-4
8:42,4,88 - 85,-3
8:12,4,88 - 86,-2
8:12,4,88 - 87,-1
7:57,4,90 - 87,-3
7:48,4,90 - 89,-1
7:34,4,92 - 89,-3
7:17,4,92 - 91,-1
6:32,4,94 - 91,-3
5:17,4,94 - 93,-1
4:58,4,97 - 93,-4
4:44,4,99 - 93,-6
3:56,4,99 - 94,-5
3:16,4,99 - 97,-2
2:55,4,101 - 97,-4
2:37,4,102 - 97,-5
2:37,4,103 - 97,-6
2:27,4,103 - 98,-5
2:27,4,103 - 99,-4
2:04,4,105 - 99,-6
1:17,4,105 - 101,-4
1:05,4,107 - 101,-6
0:58,4,107 - 102,-5
0:58,4,107 - 103,-4
0:32,4,107 - 103,-4
0:20,4,107 - 105,-2
0:18,4,108 - 105,-3
0:18,4,109 - 105,-4
0:13,4,109 - 107,-2
0:10,4,110 - 107,-3
0:10,4,111 - 107,-4
0:00,4,111 - 107,-4
