PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:38,1,2 - 0,-2
11:21,1,2 - 1,-1
10:38,1,2 - 3,1
10:12,1,2 - 6,4
9:41,1,2 - 9,7
9:18,1,2 - 11,9
8:47,1,4 - 11,7
8:31,1,4 - 13,9
8:07,1,4 - 15,11
7:25,1,4 - 17,13
7:04,1,6 - 17,11
6:48,1,6 - 18,12
6:48,1,6 - 19,13
6:25,1,6 - 21,15
5:54,1,6 - 23,17
5:38,1,6 - 25,19
5:31,1,9 - 25,16
5:02,1,11 - 25,14
4:48,1,11 - 27,16
4:26,1,14 - 27,13
3:24,1,16 - 27,11
2:54,1,19 - 27,8
2:29,1,21 - 27,6
2:17,1,21 - 29,8
1:54,1,21 - 31,10
1:27,1,23 - 31,8
1:23,1,23 - 34,11
1:14,1,25 - 34,9
0:57,1,25 - 36,11
0:41,1,27 - 36,9
0:36,1,27 - 38,11
0:17,1,27 - 40,13
0:00,1,27 - 40,13
12:00,2,27 - 40,13
11:37,2,29 - 40,11
10:26,2,29 - 42,13
10:26,2,29 - 43,14
10:05,2,29 - 46,17
9:22,2,29 - 47,18
9:22,2,29 - 48,19
9:12,2,30 - 48,18
9:07,2,32 - 48,16
8:48,2,34 - 48,14
8:34,2,34 - 51,17
8:21,2,36 - 51,15
7:51,2,38 - 51,13
7:34,2,38 - 54,16
7:17,2,39 - 54,15
7:17,2,40 - 54,14
6:31,2,41 - 54,13
6:21,2,41 - 55,14
6:21,2,41 - 56,15
5:58,2,42 - 56,14
5:18,2,42 - 58,16
4:07,2,45 - 58,13
3:49,2,45 - 59,14
3:49,2,45 - 60,15
3:14,2,47 - 60,13
2:58,2,47 - 61,14
2:58,2,47 - 62,15
2:41,2,50 - 62,12
2:24,2,50 - 64,14
2:02,2,53 - 64,11
1:48,2,53 - 64,11
1:17,2,53 - 66,13
0:59,2,56 - 66,10
0:38,2,56 - 67,11
0:38,2,56 - 68,12
0:04,2,56 - 70,14
0:00,2,56 - 70,14
12:00,3,56 - 70,14
11:13,3,56 - 73,17
10:44,3,56 - 75,19
10:22,3,58 - 75,17
9:51,3,60 - 75,15
8:18,3,62 - 75,13
7:47,3,65 - 75,10
7:10,3,67 - 75,8
6:48,3,67 - 77,10
6:32,3,70 - 77,7
6:19,3,70 - 79,9
6:01,3,72 - 79,7
4:37,3,73 - 79,6
4:25,3,75 - 79,4
3:44,3,77 - 79,2
2:50,3,80 - 79,-1
2:08,3,80 - 80,TIE
2:00,3,82 - 80,-2
1:54,3,82 - 82,TIE
1:54,3,82 - 83,1
1:43,3,83 - 83,TIE
1:05,3,86 - 83,-3
0:54,3,86 - 85,-1
0:46,3,86 - 86,TIE
0:46,3,86 - 87,1
0:18,3,88 - 87,-1
0:00,3,88 - 87,-1
12:00,4,88 - 87,-1
10:27,4,89 - 87,-2
10:27,4,90 - 87,-3
10:07,4,90 - 89,-1
9:55,4,92 - 89,-3
9:37,4,92 - 90,-2
9:37,4,92 - 91,-1
9:21,4,93 - 91,-2
9:21,4,94 - 91,-3
8:58,4,96 - 91,-5
8:30,4,97 - 91,-6
8:30,4,98 - 91,-7
8:16,4,98 - 93,-5
8:16,4,98 - 94,-4
8:03,4,100 - 94,-6
7:37,4,100 - 96,-4
6:45,4,101 - 96,-5
6:30,4,101 - 98,-3
5:29,4,101 - 100,-1
5:08,4,102 - 100,-2
4:22,4,102 - 101,-1
4:22,4,102 - 102,TIE
3:57,4,105 - 102,-3
3:04,4,105 - 104,-1
2:36,4,105 - 106,1
2:21,4,108 - 106,-2
1:48,4,109 - 106,-3
1:48,4,110 - 106,-4
1:15,4,112 - 106,-6
0:33,4,114 - 106,-8
0:00,4,114 - 106,-8
