PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:43,1,2 - 0,-2
11:28,1,2 - 2,TIE
11:12,1,4 - 2,-2
11:05,1,4 - 4,TIE
10:22,1,4 - 6,2
9:58,1,4 - 8,4
8:29,1,5 - 8,3
8:29,1,6 - 8,2
8:13,1,6 - 10,4
7:27,1,6 - 12,6
5:21,1,8 - 12,4
4:39,1,8 - 13,5
4:39,1,8 - 14,6
3:27,1,8 - 16,8
3:18,1,11 - 16,5
2:50,1,11 - 18,7
2:37,1,13 - 18,5
2:16,1,13 - 20,7
1:28,1,15 - 20,5
0:57,1,18 - 20,2
0:15,1,20 - 20,TIE
0:00,1,20 - 20,TIE
12:00,2,20 - 20,TIE
11:42,2,21 - 20,-1
11:42,2,22 - 20,-2
11:13,2,23 - 20,-3
11:13,2,24 - 20,-4
10:29,2,24 - 22,-2
8:54,2,27 - 22,-5
8:24,2,27 - 25,-2
8:11,2,29 - 25,-4
7:32,2,31 - 25,-6
7:02,2,31 - 27,-4
6:48,2,34 - 27,-7
6:30,2,34 - 28,-6
6:08,2,34 - 30,-4
5:54,2,35 - 30,-5
5:54,2,36 - 30,-6
5:29,2,39 - 30,-9
4:39,2,41 - 30,-11
4:11,2,44 - 30,-14
3:34,2,46 - 30,-16
3:24,2,46 - 32,-14
3:06,2,48 - 32,-16
2:45,2,50 - 32,-18
2:24,2,50 - 34,-16
2:11,2,52 - 34,-18
2:01,2,52 - 35,-17
1:42,2,55 - 35,-20
1:24,2,55 - 37,-18
0:25,2,56 - 37,-19
0:25,2,57 - 37,-20
0:00,2,57 - 37,-20
12:00,3,57 - 37,-20
11:30,3,59 - 37,-22
11:13,3,59 - 40,-19
10:54,3,61 - 40,-21
10:39,3,61 - 42,-19
10:39,3,61 - 43,-18
10:14,3,61 - 44,-17
10:14,3,61 - 45,-16
9:52,3,61 - 47,-14
9:27,3,61 - 49,-12
8:37,3,61 - 51,-10
8:19,3,63 - 51,-12
7:58,3,63 - 53,-10
7:11,3,65 - 53,-12
6:34,3,67 - 53,-14
6:34,3,68 - 53,-15
6:05,3,68 - 54,-14
6:05,3,68 - 55,-13
5:34,3,71 - 55,-16
5:13,3,71 - 57,-14
4:36,3,71 - 60,-11
4:12,3,73 - 60,-13
3:26,3,75 - 60,-15
3:15,3,75 - 62,-13
2:28,3,77 - 62,-15
2:13,3,77 - 64,-13
1:42,3,79 - 64,-15
1:34,3,79 - 65,-14
1:18,3,81 - 65,-16
0:56,3,81 - 68,-13
0:39,3,84 - 68,-16
0:14,3,84 - 71,-13
0:00,3,84 - 71,-13
12:00,4,84 - 71,-13
12:00,4,84 - 71,-13
11:27,4,84 - 72,-12
11:01,4,84 - 74,-10
10:25,4,84 - 76,-8
10:01,4,86 - 76,-10
9:35,4,86 - 78,-8
8:35,4,88 - 78,-10
8:35,4,89 - 78,-11
7:45,4,89 - 80,-9
7:21,4,91 - 80,-11
6:39,4,93 - 80,-13
5:54,4,95 - 80,-15
5:36,4,95 - 81,-14
5:36,4,95 - 82,-13
4:20,4,97 - 82,-15
4:01,4,97 - 84,-13
3:37,4,100 - 84,-16
3:17,4,100 - 86,-14
2:58,4,102 - 86,-16
2:39,4,102 - 88,-14
2:21,4,105 - 88,-17
2:06,4,105 - 89,-16
2:03,4,105 - 90,-15
2:03,4,105 - 91,-14
1:26,4,105 - 92,-13
1:26,4,105 - 93,-12
1:19,4,108 - 93,-15
1:09,4,108 - 95,-13
0:50,4,110 - 95,-15
0:37,4,110 - 98,-12
0:00,4,110 - 98,-12
