PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:30,1,2 - 0,-2
11:23,1,2 - 2,TIE
10:34,1,4 - 2,-2
10:07,1,4 - 4,TIE
9:34,1,6 - 4,-2
9:24,1,6 - 5,-1
9:24,1,6 - 6,TIE
9:15,1,8 - 6,-2
8:31,1,11 - 6,-5
8:13,1,11 - 9,-2
7:58,1,11 - 11,TIE
7:58,1,11 - 12,1
7:37,1,13 - 12,-1
7:04,1,16 - 12,-4
6:41,1,18 - 12,-6
6:15,1,18 - 14,-4
6:15,1,18 - 15,-3
6:02,1,21 - 15,-6
5:21,1,22 - 15,-7
5:21,1,23 - 15,-8
4:43,1,23 - 17,-6
3:21,1,23 - 19,-4
2:51,1,23 - 21,-2
1:45,1,23 - 23,TIE
1:07,1,23 - 26,3
0:51,1,25 - 26,1
0:40,1,25 - 29,4
0:04,1,26 - 29,3
0:04,1,27 - 29,2
0:00,1,27 - 29,2
12:00,2,27 - 29,2
11:43,2,29 - 29,TIE
11:15,2,29 - 31,2
10:18,2,29 - 33,4
9:36,2,32 - 33,1
9:13,2,32 - 35,3
8:31,2,32 - 37,5
8:00,2,33 - 37,4
8:00,2,34 - 37,3
7:36,2,34 - 39,5
7:17,2,34 - 41,7
6:59,2,37 - 41,4
6:43,2,37 - 42,5
6:25,2,37 - 43,6
6:13,2,40 - 43,3
5:05,2,40 - 45,5
4:46,2,42 - 45,3
4:32,2,42 - 47,5
3:53,2,45 - 47,2
3:40,2,45 - 49,4
3:06,2,45 - 50,5
3:06,2,45 - 51,6
2:49,2,47 - 51,4
2:22,2,50 - 51,1
2:21,2,50 - 51,1
1:35,2,50 - 51,1
1:35,2,50 - 52,2
1:35,2,50 - 53,3
1:17,2,52 - 53,1
1:09,2,52 - 55,3
0:59,2,54 - 55,1
0:50,2,54 - 57,3
0:14,2,55 - 57,2
0:03,2,55 - 58,3
0:00,2,55 - 58,3
12:00,3,55 - 58,3
11:47,3,57 - 58,1
11:31,3,57 - 60,3
11:22,3,60 - 60,TIE
10:20,3,62 - 60,-2
9:28,3,64 - 60,-4
9:13,3,64 - 62,-2
9:02,3,66 - 62,-4
8:39,3,66 - 65,-1
8:19,3,66 - 68,2
8:11,3,66 - 70,4
7:31,3,69 - 70,1
7:20,3,69 - 72,3
6:59,3,69 - 73,4
6:59,3,69 - 74,5
6:18,3,71 - 74,3
5:12,3,73 - 74,1
5:12,3,74 - 74,TIE
4:59,3,74 - 75,1
4:59,3,74 - 76,2
4:35,3,74 - 78,4
4:10,3,74 - 80,6
3:31,3,74 - 82,8
3:14,3,77 - 82,5
2:12,3,79 - 82,3
2:00,3,79 - 85,6
1:37,3,82 - 85,3
1:22,3,83 - 85,2
1:22,3,84 - 85,1
1:09,3,84 - 87,3
0:58,3,86 - 87,1
0:32,3,88 - 87,-1
0:06,3,88 - 89,1
0:00,3,91 - 89,-2
0:00,3,91 - 89,-2
0:00,3,91 - 89,-2
12:00,4,91 - 89,-2
11:35,4,91 - 91,TIE
11:26,4,94 - 91,-3
11:07,4,94 - 93,-1
10:16,4,97 - 93,-4
9:44,4,97 - 95,-2
9:24,4,97 - 96,-1
8:55,4,97 - 99,2
8:35,4,99 - 99,TIE
8:35,4,100 - 99,-1
8:23,4,100 - 102,2
7:58,4,100 - 103,3
7:58,4,100 - 104,4
7:43,4,102 - 104,2
7:28,4,102 - 106,4
7:01,4,104 - 106,2
6:45,4,106 - 106,TIE
6:09,4,106 - 108,2
5:34,4,106 - 110,4
4:32,4,108 - 110,2
4:08,4,108 - 113,5
3:06,4,108 - 115,7
2:45,4,110 - 115,5
2:24,4,110 - 117,7
2:10,4,113 - 117,4
1:44,4,116 - 117,1
1:23,4,116 - 119,3
1:01,4,116 - 120,4
1:01,4,116 - 121,5
0:25,4,117 - 121,4
0:25,4,118 - 121,3
0:24,4,118 - 122,4
0:14,4,121 - 122,1
0:13,4,121 - 123,2
0:13,4,121 - 124,3
0:00,4,121 - 125,4
0:00,4,121 - 126,5
0:00,4,121 - 126,5
