PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
10:48,1,2 - 0,-2
10:35,1,2 - 2,TIE
10:25,1,4 - 2,-2
10:04,1,6 - 2,-4
9:49,1,6 - 4,-2
9:44,1,7 - 4,-3
9:44,1,8 - 4,-4
9:32,1,8 - 6,-2
9:23,1,10 - 6,-4
9:15,1,10 - 8,-2
8:57,1,10 - 10,TIE
8:41,1,10 - 12,2
7:52,1,12 - 12,TIE
7:28,1,12 - 13,1
6:41,1,12 - 14,2
6:22,1,12 - 15,3
6:09,1,12 - 17,5
5:51,1,14 - 17,3
5:40,1,14 - 18,4
5:40,1,14 - 19,5
5:16,1,14 - 20,6
5:05,1,15 - 20,5
5:05,1,16 - 20,4
4:49,1,18 - 20,2
4:37,1,18 - 22,4
4:13,1,20 - 22,2
4:04,1,20 - 24,4
3:49,1,22 - 24,2
3:14,1,22 - 26,4
3:08,1,24 - 26,2
2:34,1,26 - 26,TIE
2:22,1,26 - 28,2
1:31,1,29 - 28,-1
0:00,1,29 - 30,1
0:00,1,29 - 30,1
12:00,2,29 - 30,1
11:45,2,29 - 31,2
9:42,2,32 - 31,-1
9:13,2,34 - 31,-3
8:53,2,35 - 31,-4
8:53,2,36 - 31,-5
7:11,2,36 - 34,-2
6:52,2,36 - 36,TIE
6:30,2,38 - 36,-2
5:56,2,38 - 38,TIE
5:56,2,38 - 39,1
5:05,2,38 - 41,3
4:53,2,40 - 41,1
4:15,2,42 - 41,-1
3:45,2,42 - 43,1
2:39,2,42 - 45,3
2:15,2,42 - 48,6
2:07,2,44 - 48,4
0:59,2,44 - 50,6
0:30,2,44 - 52,8
0:06,2,46 - 52,6
0:01,2,46 - 53,7
0:00,2,46 - 53,7
12:00,3,46 - 53,7
11:27,3,49 - 53,4
11:15,3,49 - 55,6
10:44,3,49 - 57,8
10:34,3,51 - 57,6
10:16,3,51 - 59,8
10:02,3,54 - 59,5
9:28,3,55 - 59,4
9:17,3,55 - 61,6
8:52,3,55 - 63,8
8:43,3,57 - 63,6
7:55,3,57 - 65,8
7:55,3,57 - 66,9
7:16,3,57 - 68,11
6:32,3,57 - 70,13
6:10,3,57 - 72,15
5:18,3,57 - 73,16
5:18,3,57 - 74,17
5:04,3,58 - 74,16
5:04,3,59 - 74,15
4:42,3,59 - 76,17
4:23,3,62 - 76,14
4:07,3,62 - 78,16
3:42,3,62 - 80,18
3:26,3,65 - 80,15
3:07,3,65 - 82,17
2:32,3,65 - 84,19
2:01,3,67 - 84,17
1:34,3,67 - 87,20
1:10,3,69 - 87,18
0:04,3,69 - 89,20
0:00,3,69 - 89,20
12:00,4,69 - 89,20
11:48,4,71 - 89,18
11:48,4,72 - 89,17
10:35,4,72 - 91,19
8:48,4,75 - 91,16
8:24,4,77 - 91,14
7:39,4,77 - 92,15
7:39,4,77 - 93,16
7:16,4,79 - 93,14
6:54,4,79 - 95,16
6:39,4,81 - 95,14
6:19,4,81 - 97,16
5:37,4,83 - 97,14
5:37,4,84 - 97,13
5:26,4,84 - 99,15
5:26,4,84 - 100,16
4:47,4,84 - 102,18
4:29,4,86 - 102,16
4:29,4,87 - 102,15
4:08,4,87 - 105,18
3:58,4,88 - 105,17
3:58,4,89 - 105,16
3:51,4,89 - 106,17
3:23,4,89 - 108,19
3:06,4,91 - 108,17
2:48,4,93 - 108,15
2:23,4,95 - 108,13
1:46,4,96 - 108,12
1:46,4,97 - 108,11
1:10,4,100 - 108,8
0:29,4,100 - 110,10
0:24,4,102 - 110,8
0:24,4,103 - 110,7
0:00,4,103 - 110,7
