PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
10:25,1,0 - 2,2
9:41,1,0 - 4,4
9:25,1,2 - 4,2
9:10,1,2 - 6,4
9:01,1,5 - 6,1
8:44,1,7 - 6,-1
8:33,1,7 - 7,TIE
8:05,1,7 - 9,2
7:15,1,7 - 12,5
6:41,1,8 - 12,4
6:41,1,9 - 12,3
6:30,1,9 - 14,5
6:11,1,11 - 14,3
6:11,1,12 - 14,2
5:57,1,12 - 16,4
5:44,1,14 - 16,2
5:30,1,14 - 18,4
4:17,1,14 - 20,6
4:02,1,16 - 20,4
3:58,1,16 - 22,6
3:22,1,18 - 22,4
3:03,1,18 - 24,6
2:26,1,19 - 24,5
2:07,1,19 - 26,7
1:52,1,21 - 26,5
1:43,1,21 - 28,7
1:24,1,23 - 28,5
1:06,1,23 - 31,8
0:54,1,24 - 31,7
0:54,1,25 - 31,6
0:33,1,27 - 31,4
0:21,1,27 - 33,6
0:01,1,29 - 33,4
0:00,1,29 - 33,4
12:00,2,29 - 33,4
9:39,2,30 - 33,3
9:28,2,30 - 36,6
8:39,2,32 - 36,4
8:26,2,32 - 39,7
8:09,2,35 - 39,4
7:58,2,35 - 41,6
7:39,2,37 - 41,4
6:50,2,39 - 41,2
6:43,2,39 - 44,5
6:24,2,39 - 47,8
6:10,2,42 - 47,5
5:55,2,45 - 47,2
5:38,2,45 - 50,5
5:27,2,47 - 50,3
5:14,2,47 - 53,6
4:38,2,47 - 55,8
4:17,2,49 - 55,6
4:00,2,49 - 56,7
4:00,2,49 - 57,8
3:38,2,51 - 57,6
3:14,2,53 - 57,4
2:54,2,54 - 57,3
2:54,2,55 - 57,2
2:36,2,55 - 59,4
2:03,2,55 - 61,6
1:54,2,58 - 61,3
1:37,2,58 - 62,4
1:37,2,58 - 63,5
1:16,2,60 - 63,3
0:25,2,60 - 64,4
0:25,2,60 - 65,5
0:00,2,60 - 65,5
12:00,3,60 - 65,5
10:58,3,60 - 68,8
10:31,3,63 - 68,5
10:16,3,63 - 70,7
9:14,3,63 - 72,9
8:54,3,66 - 72,6
8:33,3,67 - 72,5
8:33,3,68 - 72,4
7:57,3,70 - 72,2
7:11,3,72 - 72,TIE
6:37,3,72 - 73,1
6:37,3,72 - 74,2
5:45,3,72 - 76,4
5:21,3,74 - 76,2
4:57,3,76 - 76,TIE
4:37,3,76 - 79,3
4:00,3,76 - 80,4
4:00,3,76 - 81,5
3:39,3,77 - 81,4
3:29,3,77 - 84,7
3:04,3,77 - 85,8
3:04,3,77 - 86,9
2:32,3,77 - 88,11
2:21,3,79 - 88,9
1:50,3,79 - 90,11
1:37,3,79 - 91,12
1:37,3,79 - 92,13
1:12,3,79 - 94,15
0:44,3,79 - 96,17
0:12,3,79 - 98,19
0:03,3,82 - 98,16
0:00,3,82 - 98,16
12:00,4,82 - 98,16
11:35,4,85 - 98,13
11:17,4,85 - 99,14
11:17,4,85 - 100,15
11:08,4,86 - 100,14
11:08,4,87 - 100,13
10:19,4,87 - 102,15
9:47,4,87 - 104,17
9:26,4,87 - 106,19
9:13,4,90 - 106,16
8:40,4,92 - 106,14
8:26,4,92 - 108,16
8:10,4,94 - 108,14
7:48,4,94 - 110,16
7:05,4,94 - 112,18
7:05,4,94 - 113,19
6:25,4,94 - 115,21
5:27,4,95 - 115,20
5:05,4,95 - 117,22
4:54,4,97 - 117,20
4:12,4,98 - 117,19
4:12,4,99 - 117,18
3:53,4,102 - 117,15
3:35,4,102 - 120,18
3:21,4,104 - 120,16
2:58,4,104 - 122,18
2:41,4,106 - 122,16
1:33,4,107 - 122,15
1:33,4,108 - 122,14
1:17,4,108 - 124,16
0:34,4,110 - 124,14
0:13,4,110 - 127,17
0:07,4,113 - 127,14
0:00,4,113 - 127,14
