PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:38,1,0 - 2,2
11:24,1,2 - 2,TIE
11:05,1,2 - 4,2
9:57,1,2 - 6,4
9:11,1,4 - 6,2
8:52,1,6 - 6,TIE
8:37,1,8 - 6,-2
8:37,1,9 - 6,-3
8:27,1,9 - 8,-1
8:11,1,12 - 8,-4
7:45,1,12 - 10,-2
7:45,1,12 - 11,-1
6:48,1,14 - 11,-3
6:46,1,14 - 13,-1
6:29,1,17 - 13,-4
6:02,1,20 - 13,-7
5:05,1,23 - 13,-10
3:32,1,24 - 13,-11
3:32,1,25 - 13,-12
3:24,1,25 - 15,-10
1:47,1,25 - 17,-8
1:03,1,27 - 17,-10
0:50,1,27 - 18,-9
0:28,1,27 - 19,-8
0:28,1,27 - 20,-7
0:09,1,28 - 20,-8
0:09,1,29 - 20,-9
0:02,1,29 - 23,-6
0:00,1,29 - 23,-6
12:00,2,29 - 23,-6
11:39,2,29 - 25,-4
11:16,2,29 - 27,-2
10:27,2,29 - 29,TIE
10:17,2,31 - 29,-2
9:39,2,31 - 31,TIE
9:21,2,33 - 31,-2
8:59,2,35 - 31,-4
7:52,2,35 - 33,-2
6:18,2,35 - 35,TIE
4:56,2,35 - 37,2
4:01,2,37 - 37,TIE
3:36,2,37 - 39,2
3:10,2,37 - 40,3
3:10,2,37 - 41,4
2:25,2,39 - 41,2
2:13,2,39 - 44,5
1:56,2,41 - 44,3
1:33,2,44 - 44,TIE
1:20,2,44 - 45,1
1:20,2,44 - 46,2
1:12,2,45 - 46,1
1:12,2,46 - 46,TIE
1:03,2,46 - 48,2
0:26,2,48 - 48,TIE
0:04,2,48 - 51,3
0:00,2,48 - 51,3
12:00,3,48 - 51,3
9:59,3,51 - 51,TIE
9:47,3,51 - 53,2
8:57,3,53 - 53,TIE
8:44,3,53 - 55,2
8:28,3,55 - 55,TIE
8:15,3,55 - 57,2
7:33,3,55 - 59,4
7:18,3,57 - 59,2
7:09,3,57 - 62,5
5:28,3,57 - 64,7
4:59,3,57 - 66,9
4:40,3,58 - 66,8
4:40,3,59 - 66,7
4:11,3,60 - 66,6
4:11,3,61 - 66,5
3:41,3,63 - 66,3
3:15,3,63 - 68,5
3:08,3,65 - 68,3
2:41,3,68 - 68,TIE
2:19,3,70 - 68,-2
2:19,3,71 - 68,-3
2:10,3,71 - 70,-1
1:51,3,73 - 70,-3
1:43,3,73 - 72,-1
0:57,3,74 - 72,-2
0:57,3,75 - 72,-3
0:44,3,75 - 74,-1
0:02,3,78 - 74,-4
0:00,3,78 - 74,-4
12:00,4,78 - 74,-4
11:45,4,80 - 74,-6
11:45,4,81 - 74,-7
10:42,4,81 - 76,-5
10:11,4,81 - 78,-3
9:51,4,84 - 78,-6
9:22,4,84 - 80,-4
9:04,4,85 - 80,-5
9:04,4,86 - 80,-6
8:37,4,88 - 80,-8
8:37,4,89 - 80,-9
8:17,4,90 - 80,-10
8:17,4,91 - 80,-11
7:59,4,91 - 82,-9
7:23,4,91 - 84,-7
7:06,4,93 - 84,-9
6:59,4,93 - 85,-8
6:38,4,95 - 85,-10
5:32,4,98 - 85,-13
5:32,4,98 - 85,-13
5:14,4,98 - 87,-11
5:14,4,98 - 88,-10
4:49,4,100 - 88,-12
4:18,4,100 - 91,-9
3:57,4,102 - 91,-11
3:38,4,104 - 91,-13
3:29,4,104 - 94,-10
3:29,4,104 - 94,-10
3:10,4,104 - 96,-8
3:10,4,104 - 97,-7
2:52,4,106 - 97,-9
1:50,4,109 - 97,-12
1:43,4,109 - 99,-10
1:39,4,110 - 99,-11
1:39,4,111 - 99,-12
1:06,4,114 - 99,-15
0:38,4,115 - 99,-16
0:38,4,116 - 99,-17
0:00,4,116 - 99,-17
