PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:43,1,3 - 0,-3
11:13,1,3 - 2,-1
10:41,1,3 - 5,2
10:09,1,3 - 8,5
9:51,1,4 - 8,4
9:51,1,5 - 8,3
9:19,1,8 - 8,TIE
9:02,1,8 - 10,2
8:40,1,8 - 12,4
8:16,1,8 - 15,7
7:28,1,8 - 17,9
6:54,1,10 - 17,7
6:13,1,12 - 17,5
5:54,1,12 - 20,8
5:20,1,14 - 20,6
4:39,1,14 - 22,8
4:20,1,17 - 22,5
4:01,1,19 - 22,3
3:45,1,19 - 24,5
3:17,1,19 - 26,7
2:45,1,19 - 29,10
2:14,1,19 - 31,12
1:52,1,19 - 34,15
1:35,1,19 - 35,16
1:23,1,21 - 35,14
0:42,1,21 - 36,15
0:27,1,23 - 36,13
0:04,1,23 - 39,16
0:00,1,23 - 39,16
12:00,2,23 - 39,16
11:24,2,25 - 39,14
10:45,2,26 - 39,13
9:50,2,26 - 41,15
9:12,2,26 - 43,17
8:41,2,26 - 44,18
8:17,2,26 - 46,20
6:53,2,26 - 48,22
6:37,2,26 - 50,24
6:06,2,26 - 51,25
6:06,2,26 - 52,26
5:56,2,29 - 52,23
5:42,2,29 - 54,25
5:21,2,29 - 55,26
5:21,2,29 - 56,27
4:42,2,32 - 56,24
4:12,2,32 - 59,27
3:53,2,34 - 59,25
3:21,2,36 - 59,23
3:07,2,36 - 61,25
2:47,2,38 - 61,23
2:37,2,38 - 62,24
2:37,2,38 - 63,25
2:22,2,41 - 63,22
2:00,2,41 - 65,24
1:52,2,43 - 65,22
1:20,2,45 - 65,20
1:08,2,45 - 68,23
0:55,2,47 - 68,21
0:39,2,47 - 70,23
0:00,2,47 - 70,23
12:00,3,47 - 70,23
11:44,3,47 - 72,25
11:21,3,49 - 72,23
11:09,3,49 - 74,25
10:56,3,51 - 74,23
10:41,3,51 - 76,25
10:21,3,53 - 76,23
9:39,3,54 - 76,22
9:39,3,55 - 76,21
9:16,3,55 - 79,24
8:58,3,57 - 79,22
8:38,3,57 - 80,23
8:23,3,59 - 80,21
8:09,3,59 - 81,22
8:09,3,59 - 82,23
7:30,3,59 - 84,25
7:07,3,59 - 86,27
7:07,3,59 - 87,28
6:32,3,59 - 89,30
6:20,3,61 - 89,28
4:53,3,64 - 89,25
4:35,3,64 - 91,27
3:57,3,64 - 92,28
3:57,3,64 - 93,29
3:42,3,67 - 93,26
3:08,3,69 - 93,24
3:08,3,70 - 93,23
2:13,3,72 - 93,21
2:00,3,72 - 94,22
2:00,3,72 - 95,23
1:49,3,75 - 95,20
1:19,3,77 - 95,18
1:05,3,77 - 98,21
0:00,3,77 - 98,21
12:00,4,77 - 98,21
11:47,4,79 - 98,19
11:47,4,80 - 98,18
11:26,4,80 - 100,20
11:14,4,82 - 100,18
10:34,4,84 - 100,16
9:55,4,86 - 100,14
9:36,4,86 - 101,15
9:10,4,86 - 103,17
9:10,4,86 - 104,18
8:21,4,89 - 104,15
7:53,4,90 - 104,14
7:53,4,91 - 104,13
6:47,4,91 - 106,15
6:09,4,91 - 108,17
6:09,4,91 - 109,18
5:53,4,91 - 110,19
5:24,4,91 - 112,21
4:53,4,91 - 114,23
4:37,4,93 - 114,21
3:21,4,94 - 114,20
3:21,4,95 - 114,19
2:57,4,95 - 116,21
2:35,4,97 - 116,19
2:12,4,97 - 119,22
1:52,4,97 - 121,24
1:48,4,98 - 121,23
1:30,4,98 - 123,25
1:20,4,100 - 123,23
1:06,4,100 - 125,25
1:01,4,101 - 125,24
1:01,4,102 - 125,23
0:32,4,104 - 125,21
0:03,4,107 - 125,18
0:00,4,107 - 125,18
