PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:43,1,0 - 3,3
11:28,1,3 - 3,TIE
11:02,1,6 - 3,-3
10:10,1,6 - 6,TIE
8:50,1,6 - 9,3
8:37,1,8 - 9,1
8:08,1,10 - 9,-1
7:55,1,10 - 12,2
7:41,1,13 - 12,-1
6:50,1,13 - 14,1
6:29,1,15 - 14,-1
6:09,1,15 - 17,2
5:23,1,17 - 17,TIE
5:09,1,17 - 20,3
4:45,1,19 - 20,1
3:58,1,19 - 22,3
3:27,1,19 - 25,6
3:10,1,22 - 25,3
2:12,1,25 - 25,TIE
1:03,1,25 - 28,3
0:42,1,28 - 28,TIE
0:27,1,28 - 31,3
0:04,1,30 - 31,1
0:04,1,31 - 31,TIE
0:00,1,31 - 31,TIE
12:00,2,31 - 31,TIE
11:32,2,31 - 33,2
10:54,2,31 - 34,3
10:54,2,31 - 35,4
10:32,2,31 - 37,6
10:31,2,31 - 38,7
9:28,2,33 - 38,5
8:58,2,35 - 38,3
8:14,2,35 - 40,5
7:22,2,35 - 42,7
6:27,2,37 - 42,5
5:55,2,37 - 45,8
5:25,2,39 - 45,6
5:02,2,41 - 45,4
4:42,2,41 - 48,7
4:16,2,44 - 48,4
3:57,2,44 - 49,5
3:44,2,44 - 51,7
3:44,2,44 - 52,8
2:25,2,44 - 55,11
2:00,2,46 - 55,9
1:35,2,46 - 57,11
1:16,2,46 - 59,13
0:41,2,48 - 59,11
0:22,2,48 - 62,14
0:00,2,48 - 62,14
12:00,3,48 - 62,14
11:28,3,48 - 64,16
11:03,3,48 - 66,18
10:43,3,50 - 66,16
10:10,3,50 - 69,19
9:45,3,52 - 69,17
8:49,3,52 - 71,19
8:20,3,52 - 73,21
8:08,3,55 - 73,18
7:51,3,55 - 76,21
7:19,3,58 - 76,18
6:53,3,61 - 76,15
6:09,3,61 - 78,17
6:00,3,64 - 78,14
5:44,3,64 - 80,16
5:44,3,64 - 81,17
5:16,3,64 - 83,19
4:41,3,64 - 86,22
4:22,3,65 - 86,21
4:22,3,66 - 86,20
3:57,3,68 - 86,18
3:24,3,68 - 88,20
2:33,3,71 - 88,17
1:52,3,71 - 90,19
1:28,3,71 - 92,21
1:14,3,72 - 92,20
1:14,3,73 - 92,19
0:59,3,73 - 94,21
0:44,3,75 - 94,19
0:17,3,77 - 94,17
0:00,3,77 - 94,17
0:00,3,77 - 94,17
12:00,4,77 - 94,17
11:24,4,77 - 96,19
11:00,4,79 - 96,17
10:43,4,79 - 98,19
10:35,4,81 - 98,17
10:26,4,81 - 101,20
10:02,4,81 - 104,23
9:31,4,82 - 104,22
9:31,4,83 - 104,21
9:12,4,83 - 106,23
8:55,4,85 - 106,21
8:30,4,85 - 109,24
8:12,4,88 - 109,21
7:50,4,88 - 111,23
7:03,4,91 - 111,20
6:44,4,91 - 114,23
6:25,4,94 - 114,20
5:44,4,97 - 114,17
5:17,4,99 - 114,15
4:54,4,101 - 114,13
4:31,4,101 - 116,15
4:13,4,102 - 116,14
4:13,4,103 - 116,13
4:04,4,103 - 118,15
3:23,4,103 - 120,17
3:04,4,105 - 120,15
2:40,4,105 - 121,16
2:20,4,107 - 121,14
1:57,4,108 - 121,13
1:57,4,109 - 121,12
1:32,4,109 - 123,14
1:16,4,111 - 123,12
0:43,4,113 - 123,10
0:23,4,114 - 123,9
0:00,4,114 - 123,9
