PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
9:49,1,0 - 2,2
9:11,1,0 - 4,4
8:52,1,2 - 4,2
8:19,1,5 - 4,-1
7:47,1,7 - 4,-3
7:25,1,7 - 6,-1
6:40,1,7 - 8,1
6:20,1,10 - 8,-2
6:07,1,10 - 10,TIE
5:10,1,11 - 10,-1
5:10,1,12 - 10,-2
4:53,1,12 - 12,TIE
4:33,1,14 - 12,-2
4:08,1,17 - 12,-5
3:36,1,19 - 12,-7
3:18,1,19 - 14,-5
3:04,1,21 - 14,-7
2:55,1,21 - 17,-4
2:35,1,21 - 19,-2
1:53,1,24 - 19,-5
1:37,1,24 - 21,-3
1:23,1,24 - 22,-2
1:23,1,24 - 23,-1
0:59,1,26 - 23,-3
0:44,1,26 - 25,-1
0:24,1,29 - 25,-4
0:03,1,29 - 28,-1
0:00,1,29 - 28,-1
12:00,2,29 - 28,-1
11:36,2,32 - 28,-4
11:21,2,32 - 29,-3
11:21,2,32 - 30,-2
10:54,2,32 - 32,TIE
9:30,2,32 - 35,3
8:42,2,32 - 37,5
7:40,2,32 - 39,7
7:13,2,34 - 39,5
7:01,2,34 - 42,8
6:28,2,34 - 45,11
5:49,2,34 - 46,12
5:31,2,34 - 47,13
5:31,2,34 - 48,14
4:57,2,34 - 50,16
4:20,2,34 - 52,18
3:58,2,36 - 52,16
3:17,2,38 - 52,14
2:59,2,38 - 53,15
2:59,2,38 - 54,16
2:21,2,38 - 56,18
2:14,2,40 - 56,16
1:57,2,42 - 56,14
0:00,2,42 - 56,14
12:00,3,42 - 56,14
10:59,3,44 - 56,12
10:46,3,44 - 57,13
9:25,3,44 - 59,15
8:33,3,46 - 59,13
8:06,3,48 - 59,11
7:50,3,48 - 61,13
7:42,3,50 - 61,11
7:23,3,50 - 63,13
6:47,3,50 - 66,16
6:23,3,52 - 66,14
5:34,3,52 - 68,16
5:15,3,55 - 68,13
4:49,3,55 - 70,15
4:04,3,57 - 70,13
3:11,3,57 - 72,15
1:58,3,59 - 72,13
1:50,3,59 - 75,16
1:26,3,62 - 75,13
1:10,3,62 - 76,14
0:56,3,63 - 76,13
0:43,3,63 - 78,15
0:00,3,63 - 78,15
12:00,4,63 - 78,15
11:25,4,65 - 78,13
11:06,4,65 - 80,15
10:48,4,66 - 80,14
10:48,4,67 - 80,13
10:27,4,67 - 82,15
10:09,4,68 - 82,14
10:00,4,70 - 82,12
9:24,4,70 - 85,15
8:45,4,73 - 85,12
8:24,4,73 - 87,14
7:53,4,73 - 90,17
7:21,4,73 - 92,19
6:42,4,73 - 93,20
6:42,4,73 - 94,21
6:33,4,74 - 94,20
6:33,4,75 - 94,19
6:08,4,75 - 97,22
5:05,4,75 - 98,23
5:05,4,75 - 99,24
4:10,4,75 - 102,27
3:52,4,77 - 102,25
3:29,4,77 - 103,26
3:19,4,78 - 103,25
3:02,4,78 - 106,28
1:34,4,78 - 107,29
1:34,4,78 - 108,30
1:05,4,81 - 108,27
0:54,4,83 - 108,25
0:30,4,85 - 108,23
0:00,4,85 - 108,23
