PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:40,1,0 - 2,2
10:50,1,2 - 2,TIE
10:31,1,2 - 4,2
10:23,1,4 - 4,TIE
10:03,1,4 - 6,2
9:45,1,6 - 6,TIE
9:15,1,6 - 8,2
8:24,1,6 - 10,4
7:49,1,6 - 12,6
7:29,1,6 - 14,8
7:16,1,8 - 14,6
7:16,1,9 - 14,5
6:28,1,9 - 16,7
6:08,1,9 - 17,8
6:08,1,9 - 18,9
5:29,1,9 - 21,12
4:57,1,9 - 23,14
3:49,1,9 - 24,15
3:36,1,12 - 24,12
3:14,1,12 - 26,14
3:01,1,14 - 26,12
2:44,1,14 - 28,14
1:49,1,14 - 31,17
0:06,1,14 - 33,19
0:01,1,16 - 33,17
0:00,1,16 - 33,17
12:00,2,16 - 33,17
11:41,2,18 - 33,15
10:33,2,18 - 35,17
9:59,2,20 - 35,15
9:30,2,22 - 35,13
9:11,2,22 - 38,16
8:39,2,22 - 40,18
8:09,2,24 - 40,16
7:52,2,24 - 43,19
7:39,2,25 - 43,18
7:39,2,26 - 43,17
7:12,2,26 - 45,19
6:50,2,28 - 45,17
5:55,2,28 - 47,19
5:35,2,28 - 50,22
4:33,2,31 - 50,19
4:10,2,31 - 52,21
3:45,2,31 - 54,23
3:18,2,31 - 55,24
2:43,2,31 - 56,25
2:43,2,31 - 57,26
2:05,2,33 - 57,24
1:40,2,33 - 60,27
1:12,2,33 - 62,29
0:00,2,33 - 62,29
12:00,3,33 - 62,29
11:26,3,33 - 65,32
11:07,3,36 - 65,29
10:46,3,36 - 67,31
10:20,3,36 - 69,33
8:51,3,37 - 69,32
8:51,3,38 - 69,31
8:03,3,40 - 69,29
7:45,3,40 - 71,31
7:22,3,40 - 74,34
6:48,3,40 - 77,37
6:19,3,40 - 79,39
5:41,3,42 - 79,37
5:19,3,42 - 81,39
4:50,3,42 - 83,41
4:26,3,44 - 83,39
4:11,3,44 - 84,40
4:11,3,44 - 85,41
3:37,3,44 - 87,43
3:24,3,47 - 87,40
2:50,3,49 - 87,38
2:50,3,50 - 87,37
2:34,3,50 - 89,39
2:15,3,52 - 89,37
1:55,3,52 - 91,39
1:31,3,52 - 93,41
1:13,3,54 - 93,39
0:42,3,56 - 93,37
0:00,3,56 - 93,37
12:00,4,56 - 93,37
11:27,4,56 - 94,38
11:27,4,56 - 95,39
10:51,4,56 - 98,42
10:29,4,56 - 100,44
10:21,4,58 - 100,42
10:02,4,58 - 103,45
9:13,4,60 - 103,43
8:25,4,63 - 103,40
7:32,4,63 - 105,42
7:16,4,64 - 105,41
7:16,4,65 - 105,40
7:16,4,66 - 105,39
6:31,4,67 - 105,38
5:52,4,69 - 105,36
5:38,4,69 - 107,38
5:21,4,70 - 107,37
5:21,4,71 - 107,36
4:52,4,71 - 109,38
4:04,4,71 - 111,40
3:19,4,72 - 111,39
3:19,4,73 - 111,38
2:20,4,75 - 111,36
2:06,4,75 - 114,39
1:46,4,77 - 114,37
1:36,4,77 - 117,40
1:10,4,77 - 119,42
1:04,4,79 - 119,40
0:00,4,79 - 119,40
