PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:26,1,0 - 3,3
10:53,1,0 - 4,4
10:53,1,0 - 5,5
10:04,1,3 - 5,2
9:36,1,5 - 5,TIE
8:44,1,7 - 5,-2
8:12,1,8 - 5,-3
8:12,1,9 - 5,-4
7:13,1,11 - 5,-6
6:50,1,13 - 5,-8
6:32,1,13 - 7,-6
5:58,1,16 - 7,-9
5:37,1,16 - 9,-7
5:22,1,18 - 9,-9
5:02,1,18 - 11,-7
4:37,1,18 - 13,-5
4:24,1,20 - 13,-7
4:03,1,20 - 16,-4
2:46,1,22 - 16,-6
2:30,1,22 - 18,-4
1:45,1,25 - 18,-7
1:32,1,25 - 20,-5
0:36,1,25 - 23,-2
0:26,1,28 - 23,-5
0:02,1,28 - 25,-3
0:00,1,28 - 25,-3
12:00,2,28 - 25,-3
11:47,2,28 - 27,-1
10:46,2,28 - 30,2
10:29,2,31 - 30,-1
9:09,2,34 - 30,-4
7:49,2,34 - 33,-1
7:32,2,36 - 33,-3
7:05,2,36 - 35,-1
6:56,2,37 - 35,-2
6:56,2,38 - 35,-3
6:34,2,38 - 37,-1
4:38,2,38 - 39,1
3:25,2,38 - 41,3
1:43,2,38 - 43,5
1:43,2,38 - 44,6
1:20,2,41 - 44,3
0:43,2,41 - 46,5
0:07,2,41 - 49,8
0:00,2,44 - 49,5
0:00,2,44 - 49,5
12:00,3,44 - 49,5
11:33,3,46 - 49,3
11:20,3,46 - 51,5
10:41,3,48 - 51,3
10:27,3,49 - 51,2
10:17,3,49 - 52,3
10:17,3,49 - 53,4
10:02,3,50 - 53,3
10:02,3,51 - 53,2
9:45,3,51 - 55,4
9:21,3,54 - 55,1
9:07,3,54 - 56,2
8:57,3,54 - 59,5
8:48,3,57 - 59,2
8:27,3,59 - 59,TIE
8:06,3,59 - 62,3
7:33,3,61 - 62,1
6:50,3,61 - 64,3
6:41,3,63 - 64,1
5:48,3,65 - 64,-1
4:07,3,65 - 66,1
3:28,3,65 - 68,3
2:31,3,67 - 68,1
2:13,3,67 - 70,3
2:13,3,67 - 71,4
1:50,3,67 - 72,5
1:50,3,67 - 73,6
1:31,3,67 - 76,9
1:19,3,69 - 76,7
1:06,3,69 - 78,9
0:32,3,69 - 80,11
0:09,3,71 - 80,9
0:00,3,71 - 80,9
12:00,4,71 - 80,9
10:56,4,74 - 80,6
10:41,4,74 - 82,8
10:27,4,76 - 82,6
9:48,4,76 - 84,8
9:32,4,76 - 86,10
9:04,4,78 - 86,8
9:04,4,79 - 86,7
8:44,4,79 - 88,9
8:16,4,81 - 88,7
7:30,4,81 - 91,10
6:15,4,81 - 93,12
6:00,4,82 - 93,11
6:00,4,83 - 93,10
5:33,4,84 - 93,9
5:11,4,84 - 95,11
4:54,4,86 - 95,9
4:54,4,87 - 95,8
4:23,4,87 - 97,10
3:42,4,90 - 97,7
3:21,4,90 - 99,9
2:48,4,90 - 101,11
2:11,4,90 - 103,13
0:39,4,90 - 105,15
0:00,4,90 - 105,15
