PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:45,1,0 - 2,2
11:15,1,0 - 5,5
9:50,1,1 - 5,4
9:50,1,2 - 5,3
9:36,1,2 - 7,5
8:53,1,3 - 7,4
8:53,1,4 - 7,3
8:41,1,4 - 10,6
8:32,1,5 - 10,5
8:32,1,6 - 10,4
8:19,1,6 - 13,7
8:06,1,8 - 13,5
7:53,1,8 - 15,7
6:48,1,9 - 15,6
6:48,1,10 - 15,5
6:33,1,10 - 18,8
6:09,1,12 - 18,6
5:44,1,14 - 18,4
5:27,1,14 - 20,6
5:10,1,15 - 20,5
5:10,1,16 - 20,4
4:21,1,16 - 22,6
4:02,1,18 - 22,4
3:31,1,21 - 22,1
3:12,1,21 - 23,2
2:26,1,23 - 23,TIE
1:49,1,25 - 23,-2
1:34,1,25 - 24,-1
1:34,1,25 - 25,TIE
1:05,1,25 - 27,2
0:45,1,25 - 29,4
0:30,1,28 - 29,1
0:07,1,28 - 31,3
0:00,1,30 - 31,1
0:00,1,30 - 31,1
0:00,1,30 - 31,1
12:00,2,30 - 31,1
11:01,2,30 - 33,3
10:40,2,32 - 33,1
10:16,2,32 - 36,4
9:42,2,34 - 36,2
9:12,2,36 - 36,TIE
8:59,2,36 - 38,2
8:59,2,36 - 39,3
7:49,2,36 - 42,6
7:18,2,36 - 45,9
7:03,2,38 - 45,7
7:03,2,39 - 45,6
6:53,2,39 - 48,9
6:38,2,41 - 48,7
6:15,2,44 - 48,4
5:46,2,46 - 48,2
5:26,2,48 - 48,TIE
5:26,2,49 - 48,-1
4:57,2,49 - 50,1
4:37,2,49 - 52,3
4:11,2,49 - 53,4
3:47,2,49 - 55,6
3:32,2,51 - 55,4
2:43,2,51 - 57,6
2:23,2,51 - 58,7
2:23,2,51 - 59,8
2:00,2,53 - 59,6
1:29,2,55 - 59,4
1:20,2,55 - 61,6
0:29,2,55 - 64,9
0:15,2,57 - 64,7
0:00,2,57 - 64,7
0:00,2,57 - 64,7
12:00,3,57 - 64,7
11:17,3,60 - 64,4
10:44,3,62 - 64,2
10:05,3,65 - 64,-1
9:37,3,65 - 67,2
8:57,3,65 - 69,4
8:40,3,66 - 69,3
8:19,3,68 - 69,1
8:04,3,68 - 71,3
7:50,3,70 - 71,1
7:33,3,70 - 74,4
7:15,3,73 - 74,1
6:54,3,73 - 76,3
6:19,3,75 - 76,1
5:56,3,77 - 76,-1
5:40,3,77 - 79,2
5:31,3,79 - 79,TIE
4:36,3,81 - 79,-2
4:05,3,81 - 81,TIE
3:55,3,83 - 81,-2
3:34,3,83 - 83,TIE
2:58,3,83 - 85,2
2:15,3,83 - 87,4
1:58,3,85 - 87,2
1:34,3,85 - 90,5
0:39,3,85 - 92,7
0:04,3,85 - 95,10
0:00,3,85 - 95,10
12:00,4,85 - 95,10
11:46,4,88 - 95,7
11:21,4,88 - 97,9
10:38,4,88 - 98,10
10:38,4,88 - 99,11
10:16,4,89 - 99,10
10:16,4,90 - 99,9
9:55,4,90 - 101,11
9:31,4,92 - 101,9
8:55,4,94 - 101,7
8:30,4,95 - 101,6
8:00,4,95 - 103,8
7:43,4,95 - 104,9
7:29,4,97 - 104,7
7:16,4,97 - 107,10
6:32,4,97 - 110,13
5:50,4,97 - 112,15
4:55,4,99 - 112,13
4:23,4,101 - 112,11
3:58,4,101 - 115,14
3:05,4,103 - 115,12
2:47,4,103 - 118,15
2:15,4,106 - 118,12
1:57,4,106 - 120,14
0:58,4,107 - 120,13
0:58,4,108 - 120,12
0:27,4,108 - 121,13
0:00,4,108 - 121,13
