PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:36,1,0 - 2,2
11:00,1,0 - 4,4
10:23,1,2 - 4,2
9:36,1,2 - 6,4
9:18,1,2 - 8,6
8:39,1,4 - 8,4
8:29,1,4 - 9,5
8:29,1,4 - 10,6
8:10,1,4 - 12,8
7:36,1,4 - 14,10
7:07,1,4 - 17,13
6:27,1,6 - 17,11
5:48,1,6 - 19,13
4:41,1,6 - 21,15
4:21,1,8 - 21,13
3:29,1,10 - 21,11
3:05,1,11 - 21,10
3:05,1,12 - 21,9
2:54,1,12 - 23,11
2:25,1,12 - 25,13
1:15,1,12 - 27,15
0:39,1,12 - 29,17
0:31,1,14 - 29,15
0:00,1,16 - 29,13
0:00,1,16 - 29,13
12:00,2,16 - 29,13
11:29,2,16 - 32,16
10:42,2,16 - 35,19
10:22,2,18 - 35,17
10:00,2,20 - 35,15
9:38,2,20 - 36,16
9:38,2,20 - 37,17
9:12,2,20 - 39,19
8:48,2,20 - 42,22
8:34,2,22 - 42,20
7:58,2,22 - 44,22
7:58,2,22 - 45,23
7:46,2,24 - 45,21
7:37,2,24 - 47,23
6:00,2,24 - 49,25
5:01,2,26 - 49,23
4:46,2,26 - 51,25
3:08,2,28 - 51,23
2:31,2,30 - 51,21
2:10,2,30 - 53,23
2:04,2,32 - 53,21
1:50,2,32 - 55,23
1:40,2,35 - 55,20
1:22,2,35 - 58,23
1:04,2,35 - 61,26
0:55,2,37 - 61,24
0:01,2,37 - 64,27
0:00,2,37 - 64,27
12:00,3,37 - 64,27
11:42,3,39 - 64,25
10:55,3,41 - 64,23
10:31,3,41 - 66,25
9:39,3,43 - 66,23
9:01,3,46 - 66,20
8:33,3,47 - 66,19
8:33,3,48 - 66,18
7:40,3,48 - 67,19
7:30,3,48 - 69,21
6:07,3,50 - 69,19
5:33,3,52 - 69,17
4:23,3,52 - 72,20
4:11,3,54 - 72,18
3:45,3,56 - 72,16
3:15,3,58 - 72,14
2:50,3,58 - 74,16
2:42,3,59 - 74,15
2:42,3,60 - 74,14
2:29,3,60 - 77,17
1:52,3,61 - 77,16
1:41,3,61 - 80,19
0:54,3,61 - 83,22
0:00,3,61 - 83,22
12:00,4,61 - 83,22
11:29,4,62 - 83,21
11:29,4,63 - 83,20
11:15,4,63 - 85,22
10:49,4,63 - 87,24
10:19,4,63 - 90,27
10:00,4,63 - 92,29
9:44,4,65 - 92,27
9:14,4,68 - 92,24
9:04,4,68 - 95,27
8:49,4,70 - 95,25
8:35,4,70 - 97,27
8:21,4,73 - 97,24
7:53,4,75 - 97,22
7:34,4,75 - 100,25
7:22,4,78 - 100,22
6:26,4,80 - 100,20
6:08,4,80 - 103,23
5:13,4,83 - 103,20
4:54,4,83 - 106,23
4:31,4,85 - 106,21
4:02,4,87 - 106,19
3:38,4,87 - 108,21
3:27,4,89 - 108,19
3:01,4,89 - 111,22
1:51,4,89 - 114,25
0:51,4,91 - 114,23
0:00,4,91 - 114,23
