PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:44,1,0 - 2,2
11:23,1,2 - 2,TIE
10:13,1,2 - 4,2
9:34,1,4 - 4,TIE
9:02,1,6 - 4,-2
8:39,1,6 - 7,1
8:29,1,8 - 7,-1
8:01,1,8 - 9,1
7:51,1,11 - 9,-2
7:05,1,11 - 12,1
6:25,1,13 - 12,-1
4:39,1,15 - 12,-3
4:02,1,15 - 14,-1
3:33,1,18 - 14,-4
3:15,1,18 - 16,-2
3:07,1,20 - 16,-4
2:52,1,20 - 17,-3
2:29,1,22 - 17,-5
1:56,1,24 - 17,-7
1:56,1,25 - 17,-8
1:33,1,25 - 19,-6
1:22,1,27 - 19,-8
1:10,1,27 - 20,-7
1:10,1,27 - 21,-6
0:53,1,29 - 21,-8
0:05,1,32 - 21,-11
0:00,1,32 - 21,-11
12:00,2,32 - 21,-11
11:46,2,35 - 21,-14
10:30,2,35 - 23,-12
10:19,2,37 - 23,-14
10:02,2,37 - 25,-12
9:51,2,38 - 25,-13
9:51,2,39 - 25,-14
9:38,2,39 - 27,-12
9:28,2,41 - 27,-14
8:54,2,44 - 27,-17
8:37,2,44 - 29,-15
8:04,2,46 - 29,-17
8:04,2,47 - 29,-18
7:34,2,49 - 29,-20
7:10,2,49 - 30,-19
7:10,2,49 - 31,-18
6:53,2,49 - 34,-15
6:28,2,51 - 34,-17
5:46,2,51 - 36,-15
5:33,2,53 - 36,-17
4:00,2,53 - 38,-15
3:18,2,53 - 40,-13
3:05,2,54 - 40,-14
3:05,2,55 - 40,-15
2:23,2,55 - 41,-14
2:23,2,55 - 42,-13
2:03,2,57 - 42,-15
1:21,2,59 - 42,-17
1:07,2,61 - 42,-19
1:07,2,62 - 42,-20
0:47,2,62 - 44,-18
0:00,2,62 - 44,-18
12:00,3,62 - 44,-18
11:21,3,62 - 46,-16
11:10,3,64 - 46,-18
10:47,3,64 - 48,-16
10:36,3,67 - 48,-19
9:17,3,69 - 48,-21
8:46,3,71 - 48,-23
8:24,3,71 - 51,-20
7:20,3,71 - 53,-18
6:58,3,71 - 55,-16
6:35,3,74 - 55,-19
6:09,3,76 - 55,-21
5:31,3,76 - 57,-19
5:16,3,76 - 58,-18
5:16,3,76 - 59,-17
5:04,3,78 - 59,-19
4:08,3,78 - 61,-17
3:59,3,80 - 61,-19
3:59,3,81 - 61,-20
2:08,3,81 - 63,-18
1:13,3,83 - 63,-20
0:57,3,83 - 64,-19
0:57,3,83 - 65,-18
0:45,3,83 - 66,-17
0:45,3,83 - 67,-16
0:25,3,85 - 67,-18
0:00,3,85 - 67,-18
12:00,4,85 - 67,-18
11:05,4,85 - 69,-16
10:50,4,87 - 69,-18
10:34,4,87 - 71,-16
9:59,4,87 - 73,-14
9:59,4,87 - 74,-13
9:38,4,89 - 74,-15
8:51,4,89 - 77,-12
8:33,4,91 - 77,-14
8:21,4,91 - 80,-11
7:29,4,93 - 80,-13
6:36,4,93 - 82,-11
6:23,4,96 - 82,-14
5:40,4,98 - 82,-16
5:40,4,99 - 82,-17
5:18,4,99 - 85,-14
4:50,4,99 - 87,-12
4:37,4,101 - 87,-14
4:25,4,101 - 89,-12
3:48,4,101 - 91,-10
3:30,4,103 - 91,-12
3:12,4,103 - 94,-9
2:49,4,106 - 94,-12
2:31,4,106 - 96,-10
2:18,4,109 - 96,-13
1:57,4,109 - 99,-10
1:45,4,111 - 99,-12
1:25,4,111 - 101,-10
1:01,4,114 - 101,-13
0:00,4,114 - 101,-13
