PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
11:39,1,2 - 0,-2
11:23,1,2 - 3,1
10:59,1,4 - 3,-1
10:41,1,4 - 5,1
10:19,1,6 - 5,-1
9:17,1,6 - 7,1
8:54,1,8 - 7,-1
8:42,1,8 - 10,2
8:21,1,11 - 10,-1
8:12,1,11 - 12,1
7:50,1,11 - 14,3
7:16,1,14 - 14,TIE
6:51,1,14 - 17,3
6:23,1,16 - 17,1
5:51,1,16 - 19,3
5:37,1,17 - 19,2
5:10,1,20 - 19,-1
5:00,1,20 - 22,2
4:42,1,21 - 22,1
4:42,1,22 - 22,TIE
4:31,1,22 - 24,2
4:11,1,22 - 27,5
3:48,1,24 - 27,3
3:39,1,24 - 29,5
3:02,1,24 - 31,7
2:33,1,24 - 34,10
2:10,1,26 - 34,8
2:01,1,26 - 36,10
0:50,1,29 - 36,7
0:24,1,31 - 36,5
0:00,1,31 - 36,5
12:00,2,31 - 36,5
11:37,2,31 - 38,7
11:14,2,33 - 38,5
11:14,2,34 - 38,4
10:15,2,34 - 40,6
9:42,2,34 - 42,8
8:14,2,37 - 42,5
8:04,2,37 - 45,8
7:27,2,40 - 45,5
7:15,2,40 - 46,6
6:59,2,42 - 46,4
6:48,2,42 - 49,7
6:16,2,44 - 49,5
6:06,2,44 - 51,7
5:49,2,46 - 51,5
5:32,2,46 - 53,7
4:32,2,49 - 53,4
4:12,2,51 - 53,2
3:48,2,51 - 55,4
2:48,2,53 - 55,2
2:27,2,56 - 55,-1
1:59,2,57 - 55,-2
1:59,2,58 - 55,-3
0:57,2,58 - 58,TIE
0:36,2,58 - 60,2
0:28,2,59 - 60,1
0:01,2,61 - 60,-1
0:00,2,61 - 60,-1
0:00,2,61 - 60,-1
0:00,2,61 - 60,-1
12:00,3,61 - 60,-1
11:43,3,63 - 60,-3
11:21,3,63 - 63,TIE
10:37,3,65 - 63,-2
10:07,3,67 - 63,-4
9:19,3,67 - 66,-1
8:27,3,69 - 66,-3
7:50,3,69 - 69,TIE
7:28,3,69 - 70,1
6:55,3,69 - 72,3
5:54,3,69 - 74,5
5:54,3,69 - 75,6
5:11,3,69 - 77,8
4:21,3,72 - 77,5
3:32,3,72 - 79,7
3:11,3,74 - 79,5
3:03,3,74 - 80,6
3:03,3,74 - 81,7
2:47,3,76 - 81,5
2:25,3,76 - 84,8
2:12,3,78 - 84,6
2:12,3,79 - 84,5
0:29,3,82 - 84,2
0:10,3,82 - 87,5
0:00,3,84 - 87,3
0:00,3,84 - 87,3
12:00,4,84 - 87,3
11:46,4,85 - 87,2
11:00,4,87 - 87,TIE
9:50,4,90 - 87,-3
9:17,4,90 - 90,TIE
8:58,4,90 - 92,2
8:14,4,90 - 94,4
7:50,4,93 - 94,1
6:38,4,93 - 97,4
6:10,4,95 - 97,2
5:56,4,95 - 100,5
5:31,4,96 - 100,4
5:31,4,97 - 100,3
4:39,4,99 - 100,1
4:12,4,101 - 100,-1
3:11,4,101 - 102,1
2:48,4,103 - 102,-1
1:47,4,103 - 104,1
1:29,4,105 - 104,-1
1:10,4,105 - 104,-1
1:08,4,105 - 106,1
0:51,4,105 - 106,1
0:38,4,105 - 107,2
0:00,4,105 - 107,2
