PCTIMESTRING,PERIOD,SCORE,SCOREMARGIN
10:07,1,2 - 0,-2
9:30,1,4 - 0,-4
9:02,1,6 - 0,-6
8:25,1,6 - 2,-4
8:11,1,9 - 2,-7
7:56,1,9 - 4,-5
7:56,1,9 - 5,-4
6:49,1,9 - 6,-3
6:49,1,9 - 7,-2
6:31,1,9 - 9,TIE
5:58,1,11 - 9,-2
5:32,1,12 - 9,-3
5:32,1,13 - 9,-4
5:14,1,13 - 12,-1
4:40,1,13 - 14,1
4:11,1,13 - 16,3
3:55,1,14 - 16,2
3:05,1,16 - 16,TIE
2:47,1,16 - 19,3
2:26,1,18 - 19,1
2:18,1,18 - 20,2
2:18,1,18 - 21,3
1:31,1,20 - 21,1
0:59,1,22 - 21,-1
0:44,1,22 - 23,1
0:38,1,24 - 23,-1
0:35,1,26 - 23,-3
0:27,1,26 - 25,-1
0:07,1,28 - 25,-3
0:00,1,28 - 25,-3
12:00,2,28 - 25,-3
11:18,2,28 - 27,-1
11:05,2,31 - 27,-4
10:01,2,34 - 27,-7
9:31,2,36 - 27,-9
8:42,2,38 - 27,-11
8:21,2,38 - 30,-8
8:08,2,40 - 30,-10
7:36,2,43 - 30,-13
7:00,2,46 - 30,-16
6:29,2,49 - 30,-19
6:13,2,49 - 31,-18
6:13,2,49 - 32,-17
5:27,2,52 - 32,-20
4:59,2,54 - 32,-22
4:31,2,57 - 32,-25
4:10,2,59 - 32,-27
3:56,2,59 - 35,-24
3:34,2,61 - 35,-26
3:25,2,61 - 37,-24
2:31,2,63 - 37,-26
2:14,2,63 - 38,-25
2:14,2,63 - 39,-24
0:54,2,64 - 39,-25
0:54,2,65 - 39,-26
0:32,2,67 - 39,-28
0:00,2,67 - 39,-28
0:00,2,67 - 39,-28
12:00,3,67 - 39,-28
11:32,3,69 - 39,-30
11:12,3,71 - 39,-32
10:42,3,73 - 39,-34
9:31,3,75 - 39,-36
8:45,3,75 - 42,-33
8:19,3,76 - 42,-34
8:19,3,77 - 42,-35
7:47,3,77 - 42,-35
7:47,3,77 - 43,-34
7:47,3,77 - 44,-33
7:16,3,80 - 44,-36
6:05,3,80 - 46,-34
5:52,3,83 - 46,-37
5:22,3,85 - 46,-39
4:59,3,85 - 48,-37
4:33,3,87 - 48,-39
4:15,3,87 - 50,-37
3:54,3,89 - 50,-39
3:34,3,89 - 52,-37
3:11,3,91 - 52,-39
2:35,3,94 - 52,-42
2:16,3,94 - 54,-40
1:35,3,96 - 54,-42
0:56,3,99 - 54,-45
0:34,3,99 - 56,-43
0:08,3,99 - 58,-41
0:00,3,99 - 58,-41
12:00,4,99 - 58,-41
9:45,4,99 - 61,-38
9:01,4,99 - 62,-37
8:19,4,101 - 62,-39
8:03,4,101 - 64,-37
6:33,4,101 - 66,-35
6:19,4,103 - 66,-37
5:44,4,106 - 66,-40
5:22,4,108 - 66,-42
4:24,4,108 - 67,-41
4:24,4,108 - 68,-40
4:00,4,108 - 69,-39
4:00,4,108 - 70,-38
3:50,4,110 - 70,-40
3:40,4,110 - 71,-39
2:59,4,110 - 72,-38
2:59,4,110 - 73,-37
2:41,4,112 - 73,-39
0:56,4,112 - 75,-37
0:38,4,112 - 76,-36
0:17,4,112 - 78,-34
0:00,4,112 - 78,-34
